OBJECTID_1,MPA_ID,name_shape,Country,Site_link,status_shape,date_est,Year_est,country,rgn_key,Subbasin,HELCOM_ID,BHI_ID,Area_km2
1,288,"Røsnæs, Røsnæs Rev og Kalundborg Fjord",Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:288,Designated and managed,16.12.2009,2009,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
2,185,Kirkegrund,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:185,Designated and managed,22.08.2005,2005,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
3,257,Kims Top og den Kinesiske Mur,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:257,Designated and managed,10.09.2009,2009,Denmark,DNK,Kattegat,SEA-001,2,15300.69996
4,258,Klinteskov Kalkgrund,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:258,Designated and managed,10.09.2009,2009,Denmark,DNK,Arkona Basin,SEA-006,12,6272.53375
5,289,Roskilde Fjord og Jægerspris Nordskov,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:289,Designated and managed,16.12.2009,2009,Denmark,DNK,Kattegat,SEA-001,2,15300.69996
6,245,Bakkebrædt og Bakkeground,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:245,Designated and managed,10.09.2009,2009,Denmark,DNK,Arkona Basin,SEA-006,12,6272.53375
7,254,Maden på Helnæs og havet vest for,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:254,Designated and managed,10.09.2009,2009,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
8,259,Lillebælt,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:259,Designated and managed,10.09.2009,2009,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
9,279,Gilleleje Flak og Tragten,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:279,Designated,16.12.2009,2009,Denmark,DNK,Kattegat,SEA-001,2,15300.69996
9,279,Gilleleje Flak og Tragten,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:279,Designated,16.12.2009,2009,Denmark,DNK,The Sound,SEA-003,6,588.38712
9,279,Gilleleje Flak og Tragten,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:279,Designated,16.12.2009,2009,Sweden,SWE,The Sound,SEA-003,5,612.66514
10,262,Munkegrunde,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:262,Designated and managed,10.09.2009,2009,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
11,256,Hvideodde Rev,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:256,Designated and managed,17.09.2009,2009,Denmark,DNK,Arkona Basin,SEA-006,12,6272.53375
11,256,Hvideodde Rev,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:256,Designated and managed,17.09.2009,2009,Denmark,DNK,Bornholm Basin,SEA-007,15,7152.79836
12,292,Udby Vig,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:292,Designated and managed,16.12.2009,2009,Denmark,DNK,Kattegat,SEA-001,2,15300.69996
13,271,Sydfynske Øhav,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:271,Designated and managed,10.09.2009,2009,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
13,271,Sydfynske Øhav,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:271,Designated and managed,10.09.2009,2009,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
14,241,Æbelø og havet syd for og Nærå,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:241,Designated and managed,01.09.2009,2009,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
15,246,Begstrup Vig og kystområder ved Helgenæs,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:246,Designated and managed,22.09.2009,2009,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
16,131,Hesselø med omliggende stenrev,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:131,Designated and managed,14.07.2005,2005,Denmark,DNK,Kattegat,SEA-001,2,15300.69996
17,252,Hatter Barn,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:252,Designated and managed,10.09.2009,2009,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
18,263,Nakskov Fjord og Inderfjord,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:263,Designated and managed,10.09.2009,2009,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
19,278,Femern Bælt,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:278,Designated,16.12.2009,2009,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
19,278,Femern Bælt,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:278,Designated,16.12.2009,2009,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
19,278,Femern Bælt,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:278,Designated,16.12.2009,2009,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
20,270,Stevns Rev,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:270,Designated and managed,10.09.2009,2009,Denmark,DNK,Arkona Basin,SEA-006,12,6272.53375
21,248,Broen,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:248,Designated and managed,10.09.2009,2009,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
22,269,Stenrev sydøst for Langeland,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:269,Designated and managed,10.09.2009,2009,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
22,269,Stenrev sydøst for Langeland,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:269,Designated and managed,10.09.2009,2009,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
23,137,Herthas Flak,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:137,Designated and managed,14.07.2005,2005,Denmark,DNK,Kattegat,SEA-001,2,15300.69996
24,260,Lysegrund,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:260,Designated and managed,10.09.2009,2009,Denmark,DNK,Kattegat,SEA-001,2,15300.69996
25,276,Bøjden Nor,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:276,Designated and managed,16.12.2009,2009,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
26,264,Havet og kysten mellem Præstø Fjord og Grønsund,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:264,Designated and managed,06.04.2009,2009,Denmark,DNK,Arkona Basin,SEA-006,12,6272.53375
27,126,Bornholm: Davids Banke,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:126,Designated and managed,14.07.2005,2005,Denmark,DNK,Bornholm Basin,SEA-007,15,7152.79836
28,273,Vestamager og havet syd for,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:273,Designated and managed,17.09.2009,2009,Denmark,DNK,Arkona Basin,SEA-006,12,6272.53375
29,132,Store Middelgrund,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:132,Designated and managed,14.07.2005,2005,Denmark,DNK,Kattegat,SEA-001,2,15300.69996
29,132,Store Middelgrund,Denmark,http://mpas.helcom.fi/apex/f?p=103:12:::NO::P12_ID:132,Designated and managed,14.07.2005,2005,Sweden,SWE,Kattegat,SEA-001,1,6739.5362
