baltic_sea_basin,total_nitrogen_tonnes,total_phosphorus_tonnes
Kattegat,74000,1687
Danish Straits,65998,1601
Baltic Proper,325000,7360
Bothnian Sea,79372,2773
Bothnian Bay,57622,2675
Gulf of Riga,88417,2020
Gulf of Finland,101800,3600
