year,basin_code,input_tonnes,flow_cubic_meters_per_second,input_per_flow,baltic_sea_basin
2013,BAP,14660,3430,4.274052478134111,Baltic Proper
2013,GUF,3897,4051,0.9619846951370032,Gulf of Finland
2013,GUR,2289,1074,2.131284916201117,Gulf of Riga
2013,DS,1386,220,6.3,Danish Straits
2013,KAT,1142,931,1.2266380236305048,Kattegat
2014,BOB,2036,3101,0.6565623992260561,Bothnian Bay
2014,BOS,1676,2667,0.6284214473190851,Bothnian Sea
2014,BAP,14151,2950,4.796949152542373,Baltic Proper
2014,GUF,3855,3461,1.1138399306558797,Gulf of Finland
2014,GUR,1436,692,2.0751445086705202,Gulf of Riga
2014,DS,1382,210,6.580952380952381,Danish Straits
2014,KAT,1547,1227,1.26079869600652,Kattegat
2015,BOB,3220,4486,0.7177886758805172,Bothnian Bay
2015,BOS,2416,3277,0.7372596887397009,Bothnian Sea
2015,BAP,8452,2561,3.3002733307301835,Baltic Proper
2015,GUF,3080,3137,0.9818297736691106,Gulf of Finland
2015,GUR,1361,720,1.8902777777777777,Gulf of Riga
2015,DS,1799,275,6.541818181818182,Danish Straits
2015,KAT,1601,1201,1.3330557868442965,Kattegat
2016,BOB,2783,4023,0.6917723092219736,Bothnian Bay
2016,BOS,1499,2371,0.6322226908477435,Bothnian Sea
2016,BAP,9716,2796,3.474964234620887,Baltic Proper
2016,GUF,4025,3801,1.0589318600368325,Gulf of Finland
2016,GUR,2156,959,2.2481751824817517,Gulf of Riga
2016,DS,1283,222,5.7792792792792795,Danish Straits
2016,KAT,1230,922,1.334056399132321,Kattegat
2017,BOB,2390,3584,0.6668526785714286,Bothnian Bay
2017,BOS,1940,2639,0.7351269420234937,Bothnian Sea
2017,BAP,12920,3921,3.2950777862790104,Baltic Proper
2017,GUF,4727,3803,1.2429660794109914,Gulf of Finland
2017,GUR,3022,1453,2.0798348245010323,Gulf of Riga
2017,DS,1564,256,6.109375,Danish Straits
2017,KAT,1378,900,1.531111111111111,Kattegat
