region_id,year,feeder_group,spatial_group,BQR,area_km2
1,2018,"wading_feeders, wintering_birds",Kattegat,NA,4158.78191212
1,2018,"surface_feeders, wintering_birds",Kattegat,NA,4158.78191212
1,2018,"pelagic_feeders, wintering_birds",Kattegat,NA,4158.78191212
1,2018,"benthic_feeders, wintering_birds",Kattegat,0.25,4158.78191212
1,2018,"grazing_feeders, wintering_birds",Kattegat,NA,4158.78191212
2,2018,"wading_feeders, wintering_birds",Kattegat,NA,9983.41122649
2,2018,"surface_feeders, wintering_birds",Kattegat,NA,9983.41122649
2,2018,"pelagic_feeders, wintering_birds",Kattegat,NA,9983.41122649
2,2018,"benthic_feeders, wintering_birds",Kattegat,0.25,9983.41122649
2,2018,"grazing_feeders, wintering_birds",Kattegat,NA,9983.41122649
3,2018,"wading_feeders, wintering_birds",Belt Group,NA,1385.0745693499994
3,2018,"surface_feeders, wintering_birds",Belt Group,NA,1385.0745693499994
3,2018,"pelagic_feeders, wintering_birds",Belt Group,NA,1385.0745693499994
3,2018,"benthic_feeders, wintering_birds",Belt Group,0.25,1385.0745693499994
3,2018,"grazing_feeders, wintering_birds",Belt Group,NA,1385.0745693499994
4,2018,"wading_feeders, wintering_birds",Belt Group,NA,98.620894352
4,2018,"surface_feeders, wintering_birds",Belt Group,NA,98.620894352
4,2018,"pelagic_feeders, wintering_birds",Belt Group,NA,98.620894352
4,2018,"benthic_feeders, wintering_birds",Belt Group,0.25,98.620894352
4,2018,"grazing_feeders, wintering_birds",Belt Group,NA,98.620894352
5,2018,"wading_feeders, wintering_birds",Belt Group,NA,142.28900467200003
5,2018,"surface_feeders, wintering_birds",Belt Group,NA,142.28900467200003
5,2018,"pelagic_feeders, wintering_birds",Belt Group,NA,142.28900467200003
5,2018,"benthic_feeders, wintering_birds",Belt Group,0.25,142.28900467200003
5,2018,"grazing_feeders, wintering_birds",Belt Group,NA,142.28900467200003
6,2018,"wading_feeders, wintering_birds",Belt Group,NA,290.86634618100004
6,2018,"surface_feeders, wintering_birds",Belt Group,NA,290.86634618100004
6,2018,"pelagic_feeders, wintering_birds",Belt Group,NA,290.86634618100004
6,2018,"benthic_feeders, wintering_birds",Belt Group,0.25,290.86634618100004
6,2018,"grazing_feeders, wintering_birds",Belt Group,NA,290.86634618100004
7,2018,"wading_feeders, wintering_birds",Bornholm Group,NA,1119.9762443759998
7,2018,"surface_feeders, wintering_birds",Bornholm Group,NA,1119.9762443759998
7,2018,"pelagic_feeders, wintering_birds",Bornholm Group,NA,1119.9762443759998
7,2018,"benthic_feeders, wintering_birds",Bornholm Group,0.75,1119.9762443759998
7,2018,"grazing_feeders, wintering_birds",Bornholm Group,NA,1119.9762443759998
8,2018,"wading_feeders, wintering_birds",Bornholm Group,NA,1319.5878126870002
8,2018,"surface_feeders, wintering_birds",Bornholm Group,NA,1319.5878126870002
8,2018,"pelagic_feeders, wintering_birds",Bornholm Group,NA,1319.5878126870002
8,2018,"benthic_feeders, wintering_birds",Bornholm Group,0.75,1319.5878126870002
8,2018,"grazing_feeders, wintering_birds",Bornholm Group,NA,1319.5878126870002
9,2018,"wading_feeders, wintering_birds",Bornholm Group,NA,838.491977574
9,2018,"surface_feeders, wintering_birds",Bornholm Group,NA,838.491977574
9,2018,"pelagic_feeders, wintering_birds",Bornholm Group,NA,838.491977574
9,2018,"benthic_feeders, wintering_birds",Bornholm Group,0.75,838.491977574
9,2018,"grazing_feeders, wintering_birds",Bornholm Group,NA,838.491977574
10,2018,"wading_feeders, wintering_birds",Bornholm Group,NA,2540.1992409709997
10,2018,"surface_feeders, wintering_birds",Bornholm Group,NA,2540.1992409709997
10,2018,"pelagic_feeders, wintering_birds",Bornholm Group,NA,2540.1992409709997
10,2018,"benthic_feeders, wintering_birds",Bornholm Group,0.75,2540.1992409709997
10,2018,"grazing_feeders, wintering_birds",Bornholm Group,NA,2540.1992409709997
11,2018,"wading_feeders, wintering_birds",Bornholm Group,NA,3814.1523893450003
11,2018,"surface_feeders, wintering_birds",Bornholm Group,NA,3814.1523893450003
11,2018,"pelagic_feeders, wintering_birds",Bornholm Group,NA,3814.1523893450003
11,2018,"benthic_feeders, wintering_birds",Bornholm Group,0.75,3814.1523893450003
11,2018,"grazing_feeders, wintering_birds",Bornholm Group,NA,3814.1523893450003
12,2018,"wading_feeders, wintering_birds",Bornholm Group,NA,4441.14997088
12,2018,"surface_feeders, wintering_birds",Bornholm Group,NA,4441.14997088
12,2018,"pelagic_feeders, wintering_birds",Bornholm Group,NA,4441.14997088
12,2018,"benthic_feeders, wintering_birds",Bornholm Group,0.75,4441.14997088
12,2018,"grazing_feeders, wintering_birds",Bornholm Group,NA,4441.14997088
13,2018,"wading_feeders, wintering_birds",Bornholm Group,NA,4946.84220402
13,2018,"surface_feeders, wintering_birds",Bornholm Group,NA,4946.84220402
13,2018,"pelagic_feeders, wintering_birds",Bornholm Group,NA,4946.84220402
13,2018,"benthic_feeders, wintering_birds",Bornholm Group,0.75,4946.84220402
13,2018,"grazing_feeders, wintering_birds",Bornholm Group,NA,4946.84220402
14,2018,"wading_feeders, wintering_birds",Bornholm Group,NA,13668.53701875
14,2018,"surface_feeders, wintering_birds",Bornholm Group,NA,13668.53701875
14,2018,"pelagic_feeders, wintering_birds",Bornholm Group,NA,13668.53701875
14,2018,"benthic_feeders, wintering_birds",Bornholm Group,0.75,13668.53701875
14,2018,"grazing_feeders, wintering_birds",Bornholm Group,NA,13668.53701875
15,2018,"wading_feeders, wintering_birds",Bornholm Group,NA,6900.049217029
15,2018,"surface_feeders, wintering_birds",Bornholm Group,NA,6900.049217029
15,2018,"pelagic_feeders, wintering_birds",Bornholm Group,NA,6900.049217029
15,2018,"benthic_feeders, wintering_birds",Bornholm Group,0.75,6900.049217029
15,2018,"grazing_feeders, wintering_birds",Bornholm Group,NA,6900.049217029
16,2018,"wading_feeders, wintering_birds",Bornholm Group,NA,1880.33051832
16,2018,"surface_feeders, wintering_birds",Bornholm Group,NA,1880.33051832
16,2018,"pelagic_feeders, wintering_birds",Bornholm Group,NA,1880.33051832
16,2018,"benthic_feeders, wintering_birds",Bornholm Group,0.75,1880.33051832
16,2018,"grazing_feeders, wintering_birds",Bornholm Group,NA,1880.33051832
