"rgn_id","pressure_score"
1,0.150978807608286
2,0.156112845738729
3,0.156112845738729
4,0.194887765248617
5,0.150978807608286
6,0.156112845738729
7,0.156112845738729
8,0.194887765248617
9,0.156112845738729
10,0.194887765248617
11,0.150978807608286
12,0.156112845738729
13,0.194887765248617
14,0.150978807608286
15,0.156112845738729
16,0.194887765248617
17,0.33024871746699
18,0.33024871746699
19,0.646794631083806
20,0.150978807608286
21,0.33024871746699
22,0.646794631083806
23,0.310423632462819
24,0.345217411716779
25,0.262608488400777
26,0.150978807608286
27,0.345217411716779
28,0.262608488400777
29,0.150978807608286
30,0.146439568201701
31,0.262608488400777
32,0.146439568201701
33,0.646794631083806
34,0.262608488400777
35,0.150978807608286
36,0.146439568201701
37,0.150978807608286
38,0.146439568201701
39,0.150978807608286
40,0.146439568201701
41,0.150978807608286
42,0.146439568201701
