rgn_id,year,score,dimension
1,2014,100,status
2,2014,100,status
3,2014,100,status
4,2014,100,status
5,2014,100,status
6,2014,100,status
7,2014,100,status
8,2014,100,status
9,2014,100,status
10,2014,100,status
11,2014,100,status
12,2014,100,status
13,2014,100,status
14,2014,100,status
15,2014,100,status
16,2014,100,status
20,2014,NaN,status
26,2014,100,status
29,2014,100,status
32,2014,100,status
35,2014,100,status
36,2014,100,status
37,2014,100,status
38,2014,100,status
39,2014,100,status
40,2014,100,status
41,2014,100,status
42,2014,100,status
1,2015,100,status
2,2015,100,status
3,2015,100,status
5,2015,100,status
6,2015,100,status
7,2015,100,status
8,2015,100,status
9,2015,100,status
11,2015,100,status
12,2015,100,status
14,2015,100,status
15,2015,100,status
20,2015,NaN,status
26,2015,100,status
29,2015,100,status
32,2015,100,status
35,2015,100,status
36,2015,100,status
37,2015,100,status
38,2015,100,status
39,2015,100,status
40,2015,100,status
41,2015,100,status
42,2015,100,status
1,2016,100,status
2,2016,100,status
3,2016,100,status
5,2016,100,status
6,2016,NaN,status
7,2016,100,status
8,2016,100,status
9,2016,100,status
11,2016,100,status
12,2016,100,status
14,2016,100,status
15,2016,NaN,status
20,2016,NaN,status
26,2016,100,status
29,2016,100,status
32,2016,100,status
35,2016,100,status
36,2016,100,status
37,2016,100,status
38,2016,100,status
39,2016,100,status
40,2016,100,status
41,2016,100,status
42,2016,100,status
1,2017,100,status
2,2017,100,status
3,2017,100,status
5,2017,100,status
6,2017,NaN,status
7,2017,100,status
8,2017,100,status
9,2017,100,status
11,2017,100,status
12,2017,100,status
14,2017,100,status
15,2017,NaN,status
20,2017,NaN,status
26,2017,100,status
29,2017,100,status
32,2017,100,status
35,2017,100,status
36,2017,100,status
37,2017,100,status
38,2017,100,status
39,2017,100,status
40,2017,100,status
41,2017,100,status
42,2017,100,status
1,2018,100,status
5,2018,100,status
8,2018,100,status
11,2018,100,status
14,2018,100,status
20,2018,NaN,status
26,2018,100,status
29,2018,100,status
32,2018,100,status
35,2018,100,status
36,2018,100,status
37,2018,100,status
38,2018,100,status
39,2018,100,status
40,2018,100,status
41,2018,100,status
42,2018,100,status
8,2019,100,status
