region_id,year,BQR,area_km2
1,2018,1,4158.776106264801
2,2018,1,10015.82099897436
3,2018,0.4993,1317.2993054441285
4,2018,0.4993,98.620894352
5,2018,0.5798,142.25260713
6,2018,0.5798,269.2999709351
7,2018,0.4,1031.6514535909998
8,2018,0.4,1367.2632265797001
9,2018,0.4577,929.714819561
10,2018,0.4577,2492.5230969796517
11,2018,0.3327,3440.602845831
12,2018,0.3327,4495.4863953225295
13,2018,0.3327,5020.9881503902
14,2018,0.4558,15059.2100591
15,2018,0.4558,6900.0492169444
16,2018,0.4558,1806.1844151234
17,2018,0.4558,16373.12285844251
18,2018,0.5511,1993.4474280394688
19,2018,0.5511,1473.11620008
20,2018,0.4088,20078.24803297
21,2018,0.4088,10872.516532755
22,2018,0.4088,8025.706413699999
23,2018,0.4088,5461.24531748882
24,2018,0.4088,20250.707432511
25,2018,0.4088,4595.638144998
26,2018,0.4107,19327.6192888012
27,2018,0.3818,6294.247790642
28,2018,0.3818,1510.0031173423995
29,2018,0.2493,13459.803425621
30,2018,0.2493,9809.85368294
31,2018,0.2493,10473.961129790001
32,2018,0.3751,5098.0963983
33,2018,0.3751,7430.919282609999
34,2018,0.3751,4444.287768454
35,2018,0.3341,2732.12022608
36,2018,0.3341,-2989.603292895001
37,2018,0.5403,24519.171191880003
38,2018,0.5403,24433.737141352998
39,2018,0.4067,1270.4502069780003
40,2018,0.4067,1457.3803535710003
41,2018,0.538,11597.836887349999
42,2018,0.538,9161.718935100002
2,2018,NA,71.8675112759
2,2018,NA,51.6121863269
6,2018,NA,298.005630204
6,2018,NA,10.5632928309
3,2018,NA,7.84010562699
3,2018,NA,9.53122597407
3,2018,NA,6.52507306359
2,2018,NA,253.447566194
3,2018,NA,5.25386445981
3,2018,NA,103.494152297
3,2018,NA,819.04858699
3,2018,NA,57.2164449805
3,2018,NA,250.218601176
3,2018,NA,15.4568459692
3,2018,NA,17.1110778403
3,2018,NA,40.9025082736
3,2018,NA,82.0747671754
3,2018,NA,59.4052195686
12,2018,NA,363.721233753
3,2018,NA,101.005642519
12,2018,NA,555.213233905
12,2018,NA,21.8657674318
12,2018,NA,132.913813907
12,2018,NA,5.18703050867
15,2018,NA,213.687686063
15,2018,NA,18.9337578426
3,2018,NA,4.80879142194
3,2018,NA,2.59874347475
3,2018,NA,6.08485041311
3,2018,NA,6.68771913655
3,2018,NA,2.86014341812
3,2018,NA,1.17889840106
3,2018,NA,6.89162973261
3,2018,NA,0.22262983651
3,2018,NA,0.0831285706722
3,2018,NA,0.255814769087
3,2018,NA,10.0745148838
3,2018,NA,0.262072742955
3,2018,NA,0.838001093403
3,2018,NA,0.105261303287
3,2018,NA,0.200159749305
3,2018,NA,10.3140072988
3,2018,NA,0.263379966201
3,2018,NA,0.171463651532
3,2018,NA,0.504858930188
3,2018,NA,3.38228372453
3,2018,NA,5.40265118087
3,2018,NA,8.09531027363
3,2018,NA,67.0218933131
3,2018,NA,10.6801809358
3,2018,NA,207.778114075
3,2018,NA,46.232488557800004
3,2018,NA,15.4750530923
3,2018,NA,181.846799063
3,2018,NA,101.418200541
3,2018,NA,5.01899570041
3,2018,NA,32.886034424100004
3,2018,NA,35.1634266716
3,2018,NA,5.52443743663
3,2018,NA,15.1174665162
3,2018,NA,5.15214684301
3,2018,NA,0.370991263601
3,2018,NA,1.89618150002
3,2018,NA,8.04632540412
3,2018,NA,13.293375242
3,2018,NA,149.67642377
3,2018,NA,92.4400166215
3,2018,NA,16.4339733536
3,2018,NA,4.86319514556
3,2018,NA,10.232553905
3,2018,NA,32.7186075612
3,2018,NA,46.2426192214
2,2018,NA,1.94759118422
2,2018,NA,6.21357823682
2,2018,NA,18.1671700639
2,2018,NA,461.204481181
2,2018,NA,211.921996501
2,2018,NA,173.931729146
3,2018,NA,84.7066524523
3,2018,NA,15.8300025192
3,2018,NA,7.26283177407
3,2018,NA,34.9005377517
3,2018,NA,1.81660034319
3,2018,NA,275.947828136
2,2018,NA,616.702486133
2,2018,NA,1279.65731663
2,2018,NA,223.298658399
2,2018,NA,24.8183661877
2,2018,NA,17.6356657128
2,2018,NA,28.3753737659
2,2018,NA,62.3396479025
2,2018,NA,715.930224349
12,2018,NA,604.096981892
3,2018,NA,206.264486641
2,2018,NA,584.206087686
3,2018,NA,1131.44828932
3,2018,NA,50.5497823227
7,2018,NA,179.554751519
9,2018,NA,211.392494339
3,2018,NA,10.7169076295
3,2018,NA,2.00811252429
3,2018,NA,573.294626653
3,2018,NA,1116.45416689
3,2018,NA,279.143366063
3,2018,NA,1807.03619555
2,2018,NA,1052.58177606
3,2018,NA,321.232070061
2,2018,NA,443.80476309
34,2018,0.5688,955.956922426
34,2018,0.5317,596.214182577
34,2018,0.6968,105.651838309
34,2018,0.7334,464.242892798
34,2018,0.5041,917.502488052
34,2018,0.4508,638.064448704
28,2018,0.5354,1367.38195934
28,2018,0.3422,42.2347091675
28,2018,0.5354,87.4122734757
31,2018,0.3873,1211.80042711
25,2018,0.7038,769.004880212
28,2018,0.5018,5545.58599794
28,2018,0.5299,220.33775457
28,2018,0.2927,625.282828523
28,2018,0.5546,64.5204786874
28,2018,0.5906,894.127308054
36,2018,0.5869,1193.93996713
36,2018,0.5702,5548.25609509
32,2018,0.5758,1218.57166238
32,2018,0.576,3059.81325037
36,2018,0.56,1285.0030577
40,2018,0.564,653.745138359
40,2018,0.5926,2751.15433437
38,2018,0.5632,979.225592677
38,2018,0.587,2539.42047337
42,2018,0.5692,1290.8557899
42,2018,0.5839,4257.2934086
36,2018,0.2792,241.83607753
36,2018,0.5738,490.671189925
36,2018,NA,7041.92156582
10,2018,0.3619,1.5351540484
10,2018,0.4923,93.5154371853
10,2018,0.5097,37.2295654375
10,2018,0.6119,254.907869153
10,2018,0.3865,12.7482139523
10,2018,0.5856,82.598896045
13,2018,0.1885,78.708358475
13,2018,0.2828,33.1894598891
13,2018,0.045,82.7967518659
13,2018,0.6691,461.200933521
13,2018,0.3799,168.440225191
13,2018,0.3368,66.2915156915
13,2018,0.3357,491.257002533
13,2018,0.055,24.1021065093
13,2018,0.5001,390.46642936
16,2018,0.3658,87.1737606157
16,2018,0.3351,82.5511608938
16,2018,0.4797,228.792945656
16,2018,0.3757,39.9070385581
16,2018,0.3801,287.620771533
8,2018,0.509,20.4695000258
8,2018,0.5881,43.6640268718
8,2018,0.5881,64.1612771309
8,2018,0.5957,33.7764432229
8,2018,0.2217,21.1530265754
8,2018,NA,22.3718901273
8,2018,NA,8.307644266
8,2018,0.5955,49.919021523
8,2018,0.5894,71.3877880407
8,2018,0.6667,14.0296756701
8,2018,0.5921,16.5256203579
8,2018,0.4674,14.1156578925
8,2018,0.6667,81.6586466931
8,2018,0.6667,24.4628357601
8,2018,0.6667,62.4610276707
10,2018,1,257.74895446
8,2018,1,12.498362887
8,2018,0.6533,68.6682079951
10,2018,0.6667,41.601345917
10,2018,0.5955,39.2168522878
10,2018,0.5942,45.5738064372
10,2018,0.4192,0.851659861708
10,2018,0.3554,16.3504504143
10,2018,0.2878,4.21858461084
13,2018,0.1249,126.301377974
24,2018,0.4168,239.31742951
24,2018,0.7068,502.290496879
27,2018,0.3193,387.080162904
27,2018,0.4975,308.89846516
27,2018,0.3061,855.811192004
23,2018,0.3818,6.75023957498
23,2018,0.5115,83.0090139973
23,2018,0.2852,33.1431420639
23,2018,0.625,211.595564392
23,2018,0.6558,175.085708317
23,2018,0.4143,112.896536996
17,2018,0.4514,43.5550456425
17,2018,0.3168,406.992457833
18,2018,0.3841,302.195734724
18,2018,0.1263,111.307190804
18,2018,0.6099,286.351542891
18,2018,0.5462,711.22342241
17,2018,0.0451,2.38636356653
18,2018,0.4069,64.3228775101
17,2018,0.5217,8.92169266926
18,2018,0.3462,70.2570557632
18,2018,0.1689,41.3967215102
18,2018,NA,0.121937750631
