rgn_id,dimension,score
1,trend,NA
2,trend,0.07
3,trend,-0.02
4,trend,NA
5,trend,NA
6,trend,-0.16
7,trend,NA
8,trend,NA
9,trend,NA
10,trend,NA
11,trend,NA
12,trend,0.29
13,trend,NA
14,trend,0.12
15,trend,NA
16,trend,NA
17,trend,NA
18,trend,NA
19,trend,NA
20,trend,NA
21,trend,NA
22,trend,NA
23,trend,-0
24,trend,-0.09
25,trend,NA
26,trend,0.01
27,trend,-0.11
28,trend,0.04
29,trend,-0.15
30,trend,NA
31,trend,NA
32,trend,0.05
33,trend,NA
34,trend,NA
35,trend,0.08
36,trend,0.07
37,trend,NA
38,trend,NA
39,trend,0.01
40,trend,0.13
41,trend,0.01
42,trend,0.22
