rgn_id,score,dimension
1,36.57,status
2,16.75,status
3,57.37,status
4,90,status
5,90,status
6,95,status
7,14.1,status
8,56.35,status
9,20.63,status
10,45,status
11,20.63,status
12,NA,status
13,21.43,status
14,16.67,status
15,NA,status
16,2.67,status
17,NA,status
18,8.62,status
19,NA,status
20,7.3,status
21,NA,status
22,NA,status
23,NA,status
24,NA,status
25,9.13,status
26,25.74,status
27,0,status
28,29.54,status
29,21.89,status
30,3.79,status
31,9.89,status
32,4.46,status
33,0,status
34,15.79,status
35,19.67,status
36,19.44,status
37,NA,status
38,NA,status
39,NA,status
40,NA,status
41,NA,status
42,NA,status
