region_id,year,BQR,area_km2
1,2018,0.8,6565.58647973
2,2018,0.8,16315.485175
3,2018,0.3,9987.81169212
4,2018,0.3,98.620894352
5,2018,0.3,594.722913079
6,2018,0.3,577.86889397
7,2018,0.3,1211.20620511
8,2018,0.3,1996.89387929
9,2018,0.3,1141.1073139
10,2018,0.3,3380.61988679
11,2018,0.3,4229.10211615
12,2018,0.3,6178.48445672
13,2018,0.3,6943.7423114
14,2018,0.06,15059.2100591
15,2018,0.06,7132.67066085
16,2018,0.06,2532.23009238
17,2018,0.06,17231.0761968
18,2018,0.4584,3598.08465588
19,2018,0.4584,2093.5152419
20,2018,0.4584,21904.3069818
21,2018,0.4584,11013.7075193
22,2018,0.4584,9402.46841717
23,2018,0.4584,6083.72552283
24,2018,0.4584,20992.3153589
25,2018,0.4584,5364.64302521
26,2018,0.06,27312.8600383
27,2018,0.3,7846.03761071
28,2018,0.3,10356.8864271
29,2018,0.3,17846.7987612
30,2018,0.3,9809.85368294
31,2018,0.3,11685.7615569
32,2018,0.3,9376.48131105
33,2018,0.3,11279.1063198
34,2018,0.3,8121.92054132
35,2018,0.3,2732.12022608
36,2018,0.3,12812.0246603
37,2018,0.3,31239.6673474
38,2018,0.3,27952.3832074
39,2018,0.3,3164.64521903
40,2018,0.3,4862.2798263
41,2018,0.3,16947.6650747
42,2018,0.3,14709.8681336
