rgn_id,score,dimension,status
2,95.6,status,0.956
6,39.2,status,0.392
5,31.6,status,0.316
3,97.3,status,0.973
7,84.6,status,0.846
8,86.2,status,0.862
12,62,status,0.62
13,32.2,status,0.322
28,65.4,status,0.654
32,56.5,status,0.565
36,20.5,status,0.205
38,15.5,status,0.155
42,51.5,status,0.515
33,97.4,status,0.9740000000000001
40,10,status,0.1
30,10,status,0.1
9,89.9,status,0.899
10,78.7,status,0.787
16,14.1,status,0.141
17,13.8,status,0.138
27,41.3,status,0.413
24,48.5,status,0.485
25,61.6,status,0.616
23,52.8,status,0.528
22,66.2,status,0.662
21,14.3,status,0.14300000000000002
18,10,status,0.1
19,10,status,0.1
1,67.9,status,0.679
14,7.2,status,0.07200000000000001
20,68.5,status,0.685
26,71,status,0.71
41,14.1,status,0.141
29,65.7,status,0.657
15,4.1,status,0.040999999999999995
4,100,status,1
31,100,status,1
34,100,status,1
37,92,status,0.92
11,100,status,1
35,100,status,1
39,75.2,status,0.752
