"region_id","assessment_year_red_list","scientific_name"
20,2013,"Phocoena phocoena (Baltic Sea Sub-population)"
21,2013,"Phocoena phocoena (Baltic Sea Sub-population)"
22,2013,"Phocoena phocoena (Baltic Sea Sub-population)"
23,2013,"Phocoena phocoena (Baltic Sea Sub-population)"
24,2013,"Phocoena phocoena (Baltic Sea Sub-population)"
25,2013,"Phocoena phocoena (Baltic Sea Sub-population)"
27,2013,"Phocoena phocoena (Baltic Sea Sub-population)"
28,2013,"Phocoena phocoena (Baltic Sea Sub-population)"
