region_id,stock,year,landings
3,cod_SDs22_24,1985,33188
3,cod_SDs22_24,1986,20088
3,cod_SDs22_24,1987,21692
3,cod_SDs22_24,1988,20672
3,cod_SDs22_24,1989,12795
3,cod_SDs22_24,1990,12237
3,cod_SDs22_24,1991,12931
3,cod_SDs22_24,1992,15672
3,cod_SDs22_24,1993,11815
3,cod_SDs22_24,1994,16642
3,cod_SDs22_24,1995,28310
3,cod_SDs22_24,1996,38505
3,cod_SDs22_24,1997,37077
3,cod_SDs22_24,1998,29634
3,cod_SDs22_24,1999,35934
3,cod_SDs22_24,2000,31132
3,cod_SDs22_24,2001,27781
3,cod_SDs22_24,2002,20410
3,cod_SDs22_24,2003,17205
3,cod_SDs22_24,2004,17686
3,cod_SDs22_24,2005,18493
3,cod_SDs22_24,2006,18503
3,cod_SDs22_24,2007,17384
3,cod_SDs22_24,2008,11302
3,cod_SDs22_24,2009,7313
3,cod_SDs22_24,2010,8007
3,cod_SDs22_24,2011,9107
3,cod_SDs22_24,2012,8622
3,cod_SDs22_24,2013,7697
3,cod_SDs22_24,2014,8083
3,cod_SDs22_24,2015,8390
3,cod_SDs22_24,2016,6122
3,cod_SDs22_24,2017,3852
3,cod_SDs22_24,2018,3546
4,cod_SDs22_24,1985,33188
4,cod_SDs22_24,1986,20088
4,cod_SDs22_24,1987,21692
4,cod_SDs22_24,1988,20672
4,cod_SDs22_24,1989,12795
4,cod_SDs22_24,1990,12237
4,cod_SDs22_24,1991,12931
4,cod_SDs22_24,1992,15672
4,cod_SDs22_24,1993,11815
4,cod_SDs22_24,1994,16642
4,cod_SDs22_24,1995,28310
4,cod_SDs22_24,1996,38505
4,cod_SDs22_24,1997,37077
4,cod_SDs22_24,1998,29634
4,cod_SDs22_24,1999,35934
4,cod_SDs22_24,2000,31132
4,cod_SDs22_24,2001,27781
4,cod_SDs22_24,2002,20410
4,cod_SDs22_24,2003,17205
4,cod_SDs22_24,2004,17686
4,cod_SDs22_24,2005,18493
4,cod_SDs22_24,2006,18503
4,cod_SDs22_24,2007,17384
4,cod_SDs22_24,2008,11302
4,cod_SDs22_24,2009,7313
4,cod_SDs22_24,2010,8007
4,cod_SDs22_24,2011,9107
4,cod_SDs22_24,2012,8622
4,cod_SDs22_24,2013,7697
4,cod_SDs22_24,2014,8083
4,cod_SDs22_24,2015,8390
4,cod_SDs22_24,2016,6122
4,cod_SDs22_24,2017,3852
4,cod_SDs22_24,2018,3546
5,cod_SDs22_24,1985,33188
5,cod_SDs22_24,1986,20088
5,cod_SDs22_24,1987,21692
5,cod_SDs22_24,1988,20672
5,cod_SDs22_24,1989,12795
5,cod_SDs22_24,1990,12237
5,cod_SDs22_24,1991,12931
5,cod_SDs22_24,1992,15672
5,cod_SDs22_24,1993,11815
5,cod_SDs22_24,1994,16642
5,cod_SDs22_24,1995,28310
5,cod_SDs22_24,1996,38505
5,cod_SDs22_24,1997,37077
5,cod_SDs22_24,1998,29634
5,cod_SDs22_24,1999,35934
5,cod_SDs22_24,2000,31132
5,cod_SDs22_24,2001,27781
5,cod_SDs22_24,2002,20410
5,cod_SDs22_24,2003,17205
5,cod_SDs22_24,2004,17686
5,cod_SDs22_24,2005,18493
5,cod_SDs22_24,2006,18503
5,cod_SDs22_24,2007,17384
5,cod_SDs22_24,2008,11302
5,cod_SDs22_24,2009,7313
5,cod_SDs22_24,2010,8007
5,cod_SDs22_24,2011,9107
5,cod_SDs22_24,2012,8622
5,cod_SDs22_24,2013,7697
5,cod_SDs22_24,2014,8083
5,cod_SDs22_24,2015,8390
5,cod_SDs22_24,2016,6122
5,cod_SDs22_24,2017,3852
5,cod_SDs22_24,2018,3546
6,cod_SDs22_24,1985,33188
6,cod_SDs22_24,1986,20088
6,cod_SDs22_24,1987,21692
6,cod_SDs22_24,1988,20672
6,cod_SDs22_24,1989,12795
6,cod_SDs22_24,1990,12237
6,cod_SDs22_24,1991,12931
6,cod_SDs22_24,1992,15672
6,cod_SDs22_24,1993,11815
6,cod_SDs22_24,1994,16642
6,cod_SDs22_24,1995,28310
6,cod_SDs22_24,1996,38505
6,cod_SDs22_24,1997,37077
6,cod_SDs22_24,1998,29634
6,cod_SDs22_24,1999,35934
6,cod_SDs22_24,2000,31132
6,cod_SDs22_24,2001,27781
6,cod_SDs22_24,2002,20410
6,cod_SDs22_24,2003,17205
6,cod_SDs22_24,2004,17686
6,cod_SDs22_24,2005,18493
6,cod_SDs22_24,2006,18503
