Year,swept,BHI_ID,subbasin,rgn_nam,pressure_score
NA,NA,1,Kattegat,Sweden,0
NA,NA,2,Kattegat,Denmark,0
2016,0.00414271104608,3,Great Belt,Denmark,0.456
2016,0.268191738174,3,Great Belt,Denmark,0.456
2016,0.0334594824238,3,Great Belt,Denmark,0.456
2016,0.193168218071,3,Great Belt,Denmark,0.456
2016,0.638678671245,3,Great Belt,Denmark,0.456
2016,0.596468056904,3,Great Belt,Denmark,0.456
2016,0.54729371082,3,Great Belt,Denmark,0.456
2016,0.257969891616,3,Great Belt,Denmark,0.456
2016,0.110713377317,3,Great Belt,Denmark,0.456
2016,0.00414271104608,4,Great Belt,Germany,0.004
NA,NA,5,The Sound,Sweden,0
NA,NA,6,The Sound,Denmark,0
NA,NA,7,Kiel Bay,Denmark,0
NA,NA,8,Kiel Bay,Germany,0
NA,NA,9,Bay of Mecklenburg,Denmark,0
NA,NA,10,Bay of Mecklenburg,Germany,0
NA,NA,11,Arkona Basin,Sweden,0
NA,NA,12,Arkona Basin,Denmark,0
NA,NA,13,Arkona Basin,Germany,0
NA,NA,14,Bornholm Basin,Sweden,0
NA,NA,15,Bornholm Basin,Denmark,0
NA,NA,16,Bornholm Basin,Germany,0
NA,NA,17,Bornholm Basin,Poland,0
NA,NA,18,Gdansk Basin,Poland,0
NA,NA,19,Gdansk Basin,Russia,0
NA,NA,20,Eastern Gotland Basin,Sweden,0
NA,NA,21,Eastern Gotland Basin,Poland,0
NA,NA,22,Eastern Gotland Basin,Russia,0
NA,NA,23,Eastern Gotland Basin,Lithuania,0
NA,NA,24,Eastern Gotland Basin,Latvia,0
NA,NA,25,Eastern Gotland Basin,Estonia,0
NA,NA,26,Western Gotland Basin,Sweden,0
NA,NA,27,Gulf of Riga,Latvia,0
NA,NA,28,Gulf of Riga,Estonia,0
NA,NA,29,Northern Baltic Proper,Sweden,0
NA,NA,30,Northern Baltic Proper,Finland,0
NA,NA,31,Northern Baltic Proper,Estonia,0
NA,NA,32,Gulf of Finland,Finland,0
NA,NA,33,Gulf of Finland,Russia,0
NA,NA,34,Gulf of Finland,Estonia,0
NA,NA,35,Aland Sea,Sweden,0
NA,NA,36,Aland Sea,Finland,0
NA,NA,37,Bothnian Sea,Sweden,0
NA,NA,38,Bothnian Sea,Finland,0
NA,NA,39,The Quark,Sweden,0
NA,NA,40,The Quark,Finland,0
NA,NA,41,Bothnian Bay,Sweden,0
NA,NA,42,Bothnian Bay,Finland,0
