code,threshold,units
LAT-001,8,umol_per_l
LAT-002,8,umol_per_l
LAT-003,11,umol_per_l
LAT-004,11,umol_per_l
LAT-005,14,umol_per_l
POL-001,1.05,mg_per_l
POL-002,1.05,mg_per_l
POL-003,0.38,mg_per_l
POL-004,0.03,mg_per_l
POL-005,0.15,mg_per_l
POL-006,0.15,mg_per_l
POL-007,0.18,mg_per_l
POL-008,0.23,mg_per_l
POL-009,0.32,mg_per_l
POL-010,0.1,mg_per_l
POL-011,0.15,mg_per_l
POL-012,0.1,mg_per_l
POL-013,0.1,mg_per_l
POL-014,0.1,mg_per_l
POL-015,0.1,mg_per_l
POL-016,0.1,mg_per_l
POL-017,0.1,mg_per_l
POL-018,0.23,mg_per_l
POL-019,0.1,mg_per_l
SWE-001,0.67,EQR
SWE-003,0.67,EQR
SWE-004,0.67,EQR
SWE-005,0.67,EQR
SWE-006,0.67,EQR
SWE-007,0.67,EQR
SWE-008,0.67,EQR
SWE-009,0.66,EQR
SWE-010,0.66,EQR
SWE-011,0.67,EQR
SWE-012,0.67,EQR
SWE-013,0.67,EQR
SWE-014,0.67,EQR
SWE-016,0.67,EQR
SWE-017,0.67,EQR
SWE-018,0.66,EQR
SWE-019,0.66,EQR
SWE-020,0.67,EQR
SWE-021,0.67,EQR
SWE-022,0.67,EQR
SWE-023,0.67,EQR
SWE-025,0.67,EQR
