code,threshold,units
DEN-001,2.1,ug_per_l
DEN-002,3.6,ug_per_l
DEN-003,1.7,ug_per_l
DEN-006,2.1,ug_per_l
DEN-007,2.1,ug_per_l
DEN-008,2.1,ug_per_l
DEN-009,2.1,ug_per_l
DEN-010,2.1,ug_per_l
DEN-011,1.6,ug_per_l
DEN-012,2.1,ug_per_l
DEN-013,2.1,ug_per_l
DEN-014,3.6,ug_per_l
DEN-015,2.1,ug_per_l
DEN-016,2.1,ug_per_l
DEN-017,2.1,ug_per_l
DEN-018,1.5,ug_per_l
DEN-019,1.7,ug_per_l
DEN-020,1.5,ug_per_l
DEN-021,1.7,ug_per_l
DEN-022,2.1,ug_per_l
DEN-023,2.1,ug_per_l
DEN-024,2.1,ug_per_l
DEN-025,1.7,ug_per_l
DEN-027,3.6,ug_per_l
DEN-028,3.6,ug_per_l
DEN-030,3.6,ug_per_l
DEN-031,2.1,ug_per_l
DEN-033,2.1,ug_per_l
DEN-034,7,ug_per_l
DEN-035,7,ug_per_l
DEN-036,7,ug_per_l
DEN-037,2.1,ug_per_l
DEN-038,3.6,ug_per_l
DEN-039,3.6,ug_per_l
DEN-040,2.1,ug_per_l
DEN-041,7,ug_per_l
DEN-042,2.1,ug_per_l
DEN-043,2.1,ug_per_l
DEN-044,3.6,ug_per_l
DEN-045,3.6,ug_per_l
DEN-046,3.6,ug_per_l
DEN-047,2.1,ug_per_l
DEN-048,3.6,ug_per_l
DEN-049,2.1,ug_per_l
DEN-050,2.1,ug_per_l
DEN-051,1.5,ug_per_l
DEN-052,3.6,ug_per_l
DEN-053,3.6,ug_per_l
DEN-054,1.7,ug_per_l
DEN-055,1.9,ug_per_l
DEN-057,2.1,ug_per_l
DEN-060,2.1,ug_per_l
DEN-061,2.1,ug_per_l
DEN-062,2.1,ug_per_l
DEN-063,2.1,ug_per_l
DEN-064,2.1,ug_per_l
DEN-065,2.1,ug_per_l
DEN-066,2.1,ug_per_l
DEN-067,3.6,ug_per_l
DEN-068,3.6,ug_per_l
DEN-069,3.6,ug_per_l
DEN-070,3.6,ug_per_l
DEN-071,3.6,ug_per_l
DEN-073,3.6,ug_per_l
DEN-074,7,ug_per_l
DEN-075,3.6,ug_per_l
DEN-076,1.6,ug_per_l
DEN-077,1.6,ug_per_l
DEN-078,1.9,ug_per_l
DEN-079,2.1,ug_per_l
DEN-080,2.1,ug_per_l
DEN-082,2.1,ug_per_l
DEN-083,3.6,ug_per_l
DEN-084,2.1,ug_per_l
DEN-085,1.6,ug_per_l
DEN-086,3.6,ug_per_l
DEN-087,6,ug_per_l
DEN-088,9,ug_per_l
DEN-089,6,ug_per_l
DEN-091,2.1,ug_per_l
DEN-092,1.6,ug_per_l
DEN-093,1.7,ug_per_l
DEN-095,1.6,ug_per_l
DEN-096,1.5,ug_per_l
DEN-097,2.1,ug_per_l
DEN-098,1.5,ug_per_l
DEN-099,2.1,ug_per_l
DEN-100,2.1,ug_per_l
DEN-101,2.1,ug_per_l
DEN-102,1.5,ug_per_l
DEN-103,1.5,ug_per_l
DEN-104,1.5,ug_per_l
DEN-105,1.6,ug_per_l
DEN-106,1.6,ug_per_l
DEN-107,1.6,ug_per_l
DEN-108,1.9,ug_per_l
EST-001,3.7,ug_per_l
EST-002,3.7,ug_per_l
EST-003,2.7,ug_per_l
