code,threshold,units
EST-004,2.7,ug_per_l
EST-005,2.7,ug_per_l
EST-006,2.7,ug_per_l
EST-007,1.6,ug_per_l
EST-008,2.4,ug_per_l
EST-009,2.4,ug_per_l
EST-010,1.6,ug_per_l
EST-011,1.6,ug_per_l
EST-012,3,ug_per_l
EST-013,4.5,ug_per_l
EST-014,2.4,ug_per_l
EST-015,2.4,ug_per_l
EST-016,2.4,ug_per_l
FIN-001,3,ug_per_l
FIN-002,2.3,ug_per_l
FIN-003,3.5,ug_per_l
FIN-004,2.5,ug_per_l
FIN-005,2.5,ug_per_l
FIN-006,3.3,ug_per_l
FIN-007,2.2,ug_per_l
FIN-008,2.7,ug_per_l
FIN-009,2.1,ug_per_l
FIN-010,3.3,ug_per_l
FIN-011,2.2,ug_per_l
FIN-012,3,ug_per_l
FIN-013,2.4,ug_per_l
GER-001,1.95,ug_per_l
GER-002,1.95,ug_per_l
GER-003,1.95,ug_per_l
GER-004,1.9,ug_per_l
GER-005,2.4,ug_per_l
GER-006,1.9,ug_per_l
GER-007,12.7,ug_per_l
GER-008,12.7,ug_per_l
GER-009,2.4,ug_per_l
GER-010,2.3,ug_per_l
GER-011,2.4,ug_per_l
GER-012,2.4,ug_per_l
GER-013,2.4,ug_per_l
GER-014,2.4,ug_per_l
GER-015,2.3,ug_per_l
GER-016,12.7,ug_per_l
GER-017,12.7,ug_per_l
GER-018,2.3,ug_per_l
GER-019,2.3,ug_per_l
GER-020,12.7,ug_per_l
GER-021,1.95,ug_per_l
GER-022,1.9,ug_per_l
GER-023,1.9,ug_per_l
GER-024,1.9,ug_per_l
GER-025,1.95,ug_per_l
GER-026,2.4,ug_per_l
GER-027,2.4,ug_per_l
GER-028,1.9,ug_per_l
GER-029,1.9,ug_per_l
GER-030,1.9,ug_per_l
GER-031,1.9,ug_per_l
GER-032,1.95,ug_per_l
GER-033,1.9,ug_per_l
GER-034,1.9,ug_per_l
GER-035,1.9,ug_per_l
GER-036,1.9,ug_per_l
GER-037,1.95,ug_per_l
GER-038,1.9,ug_per_l
GER-039,1.9,ug_per_l
GER-040,1.9,ug_per_l
GER-041,1.9,ug_per_l
GER-042,1.95,ug_per_l
GER-043,2.4,ug_per_l
GER-044,2.4,ug_per_l
GER-111,2.4,ug_per_l
LAT-001,1.8,ug_per_l
LAT-002,1.8,ug_per_l
LAT-003,2.7,ug_per_l
LAT-004,2.7,ug_per_l
LAT-005,3,ug_per_l
LIT-001,0.55,ug_per_l
LIT-002,0.61,ug_per_l
LIT-003,0.61,ug_per_l
LIT-004,0.68,ug_per_l
LIT-005,0.57,ug_per_l
LIT-006,0.42,ug_per_l
POL-001,20,ug_per_l
POL-002,20,ug_per_l
POL-003,23.2,ug_per_l
POL-004,2,ug_per_l
POL-005,3.76,ug_per_l
POL-006,3.76,ug_per_l
POL-007,3.8,ug_per_l
POL-008,5.5,ug_per_l
POL-009,7.5,ug_per_l
POL-010,1.9,ug_per_l
POL-011,3.15,ug_per_l
POL-012,1.9,ug_per_l
POL-013,1.9,ug_per_l
POL-014,1.9,ug_per_l
POL-015,1.9,ug_per_l
POL-016,1.9,ug_per_l
POL-017,1.9,ug_per_l
POL-018,3.15,ug_per_l
POL-019,1.9,ug_per_l
SWE-001,0.57,ug_per_l
SWE-003,0.67,ug_per_l
SWE-004,0.67,ug_per_l
SWE-005,0.59,ug_per_l
SWE-006,0.67,ug_per_l
SWE-007,0.67,ug_per_l
SWE-008,0.67,ug_per_l
SWE-009,0.67,ug_per_l
SWE-010,0.67,ug_per_l
SWE-011,0.67,ug_per_l
SWE-012,0.67,ug_per_l
SWE-013,0.67,ug_per_l
SWE-014,0.67,ug_per_l
SWE-015,0.67,ug_per_l
SWE-016,0.61,ug_per_l
SWE-017,0.6,ug_per_l
SWE-018,0.61,ug_per_l
SWE-019,0.6,ug_per_l
SWE-020,0.57,ug_per_l
SWE-021,0.55,ug_per_l
SWE-022,0.52,ug_per_l
SWE-023,0.55,ug_per_l
SWE-024,0.67,ug_per_l
SWE-025,0.67,ug_per_l
