year,ssb,fis_mort,landings,stockname,species,BMSY,FMSY,bbmsy,ffmsy,ices_subdiv,region_id
1985,30167,1.33,33188,cod_SDs22_24,cod,21876,0.26,1.378999817151216,5.115384615384616,22,3
1986,18852,1.25,20088,cod_SDs22_24,cod,21876,0.26,0.861766319253977,4.8076923076923075,22,3
1987,17492,1.14,21692,cod_SDs22_24,cod,21876,0.26,0.7995977326750777,4.384615384615384,22,3
1988,21628,1.12,20672,cod_SDs22_24,cod,21876,0.26,0.9886633753885536,4.307692307692308,22,3
1989,15794,1.01,12795,cod_SDs22_24,cod,21876,0.26,0.7219784238434814,3.8846153846153846,22,3
1990,12279,1.15,12237,cod_SDs22_24,cod,21876,0.26,0.5613000548546352,4.4230769230769225,22,3
1991,9710,1.3,12931,cod_SDs22_24,cod,21876,0.26,0.4438654232949351,5,22,3
1992,9547,1.34,15672,cod_SDs22_24,cod,21876,0.26,0.43641433534466995,5.153846153846154,22,3
1993,13817,1.18,11815,cod_SDs22_24,cod,21876,0.26,0.631605412324008,4.538461538461538,22,3
1994,24937,1.07,16642,cod_SDs22_24,cod,21876,0.26,1.1399250319985372,4.115384615384616,22,3
1995,29086,1.28,28310,cod_SDs22_24,cod,21876,0.26,1.329584933260194,4.923076923076923,22,3
1996,35958,1.14,38505,cod_SDs22_24,cod,21876,0.26,1.6437191442676906,4.384615384615384,22,3
1997,40762,1.15,37077,cod_SDs22_24,cod,21876,0.26,1.8633205339184495,4.4230769230769225,22,3
1998,27947,1.12,29634,cod_SDs22_24,cod,21876,0.26,1.2775187420003657,4.307692307692308,22,3
1999,33310,1.33,35934,cod_SDs22_24,cod,21876,0.26,1.5226732492228927,5.115384615384616,22,3
2000,33990,1.28,31132,cod_SDs22_24,cod,21876,0.26,1.5537575425123422,4.923076923076923,22,3
2001,28683,1.38,27781,cod_SDs22_24,cod,21876,0.26,1.3111629182665936,5.3076923076923075,22,3
2002,25137,1.33,20410,cod_SDs22_24,cod,21876,0.26,1.1490674712013165,5.115384615384616,22,3
2003,20519,1.16,17205,cod_SDs22_24,cod,21876,0.26,0.9379685500091425,4.461538461538461,22,3
2004,23390,1.15,17686,cod_SDs22_24,cod,21876,0.26,1.0692082647650394,4.4230769230769225,22,3
2005,26537,1.08,18493,cod_SDs22_24,cod,21876,0.26,1.2130645456207716,4.153846153846154,22,3
2006,27471,0.83,18503,cod_SDs22_24,cod,21876,0.26,1.2557597366977509,3.192307692307692,22,3
2007,28691,0.89,17384,cod_SDs22_24,cod,21876,0.26,1.3115286158347046,3.423076923076923,22,3
2008,21230,0.97,11302,cod_SDs22_24,cod,21876,0.26,0.9704699213750229,3.7307692307692304,22,3
2009,15546,1.05,7313,cod_SDs22_24,cod,21876,0.26,0.7106417992320351,4.038461538461538,22,3
2010,14459,1.09,8007,cod_SDs22_24,cod,21876,0.26,0.6609526421649295,4.1923076923076925,22,3
2011,13529,0.97,9107,cod_SDs22_24,cod,21876,0.26,0.6184402998720059,3.7307692307692304,22,3
2012,16711,0.87,8622,cod_SDs22_24,cod,21876,0.26,0.7638965075882246,3.346153846153846,22,3
2013,14076,1.13,7697,cod_SDs22_24,cod,21876,0.26,0.6434448710916072,4.346153846153846,22,3
2014,15775,0.94,8083,cod_SDs22_24,cod,21876,0.26,0.7211098921192174,3.615384615384615,22,3
2015,17368,0.88,8390,cod_SDs22_24,cod,21876,0.26,0.7939294203693545,3.3846153846153846,22,3
2016,13679,0.8,6122,cod_SDs22_24,cod,21876,0.26,0.6252971292740903,3.076923076923077,22,3
2017,11374,0.56,3852,cod_SDs22_24,cod,21876,0.26,0.5199305174620589,2.153846153846154,22,3
2018,14509,0.37,3546,cod_SDs22_24,cod,21876,0.26,0.6632382519656245,1.423076923076923,22,3
1985,30167,1.33,33188,cod_SDs22_24,cod,21876,0.26,1.378999817151216,5.115384615384616,22,4
1986,18852,1.25,20088,cod_SDs22_24,cod,21876,0.26,0.861766319253977,4.8076923076923075,22,4
1987,17492,1.14,21692,cod_SDs22_24,cod,21876,0.26,0.7995977326750777,4.384615384615384,22,4
1988,21628,1.12,20672,cod_SDs22_24,cod,21876,0.26,0.9886633753885536,4.307692307692308,22,4
1989,15794,1.01,12795,cod_SDs22_24,cod,21876,0.26,0.7219784238434814,3.8846153846153846,22,4
1990,12279,1.15,12237,cod_SDs22_24,cod,21876,0.26,0.5613000548546352,4.4230769230769225,22,4
1991,9710,1.3,12931,cod_SDs22_24,cod,21876,0.26,0.4438654232949351,5,22,4
1992,9547,1.34,15672,cod_SDs22_24,cod,21876,0.26,0.43641433534466995,5.153846153846154,22,4
1993,13817,1.18,11815,cod_SDs22_24,cod,21876,0.26,0.631605412324008,4.538461538461538,22,4
1994,24937,1.07,16642,cod_SDs22_24,cod,21876,0.26,1.1399250319985372,4.115384615384616,22,4
1995,29086,1.28,28310,cod_SDs22_24,cod,21876,0.26,1.329584933260194,4.923076923076923,22,4
1996,35958,1.14,38505,cod_SDs22_24,cod,21876,0.26,1.6437191442676906,4.384615384615384,22,4
1997,40762,1.15,37077,cod_SDs22_24,cod,21876,0.26,1.8633205339184495,4.4230769230769225,22,4
1998,27947,1.12,29634,cod_SDs22_24,cod,21876,0.26,1.2775187420003657,4.307692307692308,22,4
1999,33310,1.33,35934,cod_SDs22_24,cod,21876,0.26,1.5226732492228927,5.115384615384616,22,4
2000,33990,1.28,31132,cod_SDs22_24,cod,21876,0.26,1.5537575425123422,4.923076923076923,22,4
2001,28683,1.38,27781,cod_SDs22_24,cod,21876,0.26,1.3111629182665936,5.3076923076923075,22,4
2002,25137,1.33,20410,cod_SDs22_24,cod,21876,0.26,1.1490674712013165,5.115384615384616,22,4
2003,20519,1.16,17205,cod_SDs22_24,cod,21876,0.26,0.9379685500091425,4.461538461538461,22,4
