BHI_ID,NUTS_ID,PopTot,PopUrb,PopRur,PopTot_density_in_NUTS2_buffer_per_km2,PopUrb_density_in_NUTS2_buffer_per_km2,PopRur_density_in_NUTS2_buffer_per_km2,CNTR_CODE,rgn_nam,Subbasin,HELCOM_ID,NUTS2_area_in_BHI_buffer_km2
1,SE22,55874.694505,43937.0785845,11937.6159205,81.6301053664516,64.1898517051552,17.4402536612964,SWE,Sweden,Kattegat,SEA-001,684.48637
1,SE23,550190.7981798,523852.1365798,26339.0790096,140.125757758193,133.417675894144,6.70818817232741,SWE,Sweden,Kattegat,SEA-001,3926.4073
2,DK01,134723.3948046,104480.4767007,30241.1100339,166.806774641616,129.361729317611,37.4428066755102,DNK,Denmark,Kattegat,SEA-001,807.66141
2,DK02,163812.8092785,138613.070266,25197.6821923,131.35193655067,111.145735738645,20.2045515678811,DNK,Denmark,Kattegat,SEA-001,1247.129
2,DK04,89600.4039361,52297.5143402,37304.3546869,61.4029122099284,35.8393438060715,25.5645724267195,DNK,Denmark,Kattegat,SEA-001,1459.22075535714
2,DK05,131281.1505128,105833.2454666,25444.5516136,58.2280187125351,46.9409368623462,11.2855944794932,DNK,Denmark,Kattegat,SEA-001,2254.60445702128
3,DK02,237698.1964519,201306.9410578,36391.3009095,78.1814375656935,66.2119708049023,11.9694817312851,DNK,Denmark,Great Belt,SEA-002,3040.34057
3,DK03,721106.2048125,652262.2629479,68842.5354236,118.840462671506,107.494774825918,11.3454560598982,DNK,Denmark,Great Belt,SEA-002,6067.85087
3,DK04,415657.9766408,394161.5293395,21498.9915173,189.977825486478,180.15280457147,9.82618375717701,DNK,Denmark,Great Belt,SEA-002,2187.92891
4,DEF0,127931.0576702,80740.9305088,47189.1271614,137.105527515024,86.5311994683955,50.5732563324563,DEU,Germany,Great Belt,SEA-002,933.08461
4,DK03,1875.7991256,1781.4354381,94.3636875,303.857775056372,288.571948477957,15.2858265784154,DEU,Germany,Great Belt,SEA-002,6.17328
5,SE22,396039.2933496,385253.7648865,10787.0357022,296.788742437294,288.70615193974,8.0837200107214,SWE,Sweden,The Sound,SEA-003,1334.41481
