Country,Economic status1,Coastal population2,Waste generation rate [kg/person/day]3,% Plastic in waste stream4,% Inadequately managed waste5,% Littered waste6,Waste generation [kg/day]7,Plastic waste generation [kg/day]7,Inadequately managed plastic waste [kg/day]7,"Plastic waste littered
 [kg/day]7",Mismanaged plastic waste [kg/person/day]7,"Mismanaged plastic waste in 2010
 [tonnes]7","Mismanaged plastic waste in 2025
 [tonnes]7"
Albania,LMI,2530533,0.77,8.949999999999998,44.6676032,2,1948510.4100000001,174391.68169499995,77896.58439332961,3487.833633899999,3.216097874527999E-2,29705.312579938807,63050.75024648389
Algeria8,UMI,16556580,1.2,11.95,58.06944790000001,2,19867896,2374213.5719999997,1378692.713227269,47484.27144,8.6139588288600008E-2,520554.5994035532,1017444.3013670277
Angola,LMI,3790041,0.48,12.949999999999998,70.71501409999999,2,1819219.68,235588.94855999996,166596.7581922457,4711.778971199999,4.5199652764559985E-2,62527.61606465768,136769.53907929838
Anguilla,HIC,14561,2.1,11.949999999999998,1.8690227,2,30578.100000000002,3654.0829499999995,68.29563981232964,73.08165899999999,9.7093124656499989E-3,51.60271406650032,72.94925298282658
Antigua & Barbuda,HIC,66843,5.5,11.949999999999998,5.8163552,2,367636.5,43932.56174999999,2555.273839839336,878.6512349999999,5.1372994551999993E-2,1253.3826523163575,1385.280594146528
Argentina,UMI,16449245,1.22,14.949999999999998,12.4079737,2,20068078.9,3000177.795549999,372261.27182508365,60003.55591099998,2.6278703231429994E-2,157776.6621236705,320197.07602141215
Aruba,HIC,137910,2.1,11.949999999999998,0.9411128,2,289611,34608.5145,325.70515984935594,692.1702899999999,7.3807225715999993E-3,371.5245391950149,476.1996733191039
Australia,HIC,17235954,2.23,4.950000000000002,1.3100000000000001e-10,2,38436177.42,1902590.7822900007,2.492393924799901e-6,38051.815645800016,2.2077000001446052E-3,13888.912711626728,24653.097687574467
Bahamas,HIC,341145,3.25,11.949999999999998,0.7561222000000001,2,1108721.25,132492.189375,1001.8028571304162,2649.8437875,1.070408959425E-2,1332.851025290102,1718.3776323078444
Bahrain,HIC,743574,1.1,11.949999999999998,10.2647015,2,817931.4,97742.80229999998,10033.006893830132,1954.8560459999997,1.6121950121749995E-2,4375.569973037998,9914.713769298052
Bangladesh,LI,70874124,0.43,7.950000000000002,87.0305297,2,30475873.32,2422831.9289400005,2108603.46149721,48456.63857880001,3.0435086577945004E-2,787326.9365277437,2210229.8560292465
Barbados,HIC,276784,4.75,11.949999999999998,4.073352799999999,2,1314724,157109.51799999998,6399.624950519503,3142.1903599999996,3.4473868830999989E-2,3482.762588339618,3718.788251989342
Belgium,HIC,4747957,1.33,5.950000000000002,1.35e-9,2,6314782.8100000005,375729.57719500014,5.0723492921325016e-6,7514.591543900003,1.582700001068323E-3,2742.8259153749086,5738.855478648672
Belize,UMI,202429,2.87,5.950000000000002,28.8488568,2,580971.23,34567.78818500001,9972.411712417972,691.3557637000002,5.2679050314520012E-2,3892.2751287830597,6041.957626984011
Benin,LI,3235418,0.54,7.950000000000002,82.84781100000001,2,1747125.7200000002,138896.49474000005,115072.70544782019,2777.929894800001,3.6425165262300017E-2,43015.48190005637,119467.24730798835
Bermuda,HIC,66966,2.1,11.949999999999998,2.22e-14,2,140628.6,16805.1177,3.7307361293999996e-12,336.102354,5.0190000000000555E-3,122.67735921000136,173.4254074454812
Bosnia and Herzegovina,UMI,585582,1.2,11.949999999999998,40.266322100000004,2,702698.4,83972.4588,33812.62073569779,1679.4491759999999,6.0609905891399994E-2,12954.605517769694,20201.074187355647
Brazil,UMI,74696771,1.03,15.949999999999998,8.5244802,2,76937674.13,12271559.023734998,1046086.6192096032,245431.18047469997,1.7290142296569996E-2,471403.99688477063,954198.0917767896
British Virgin Islands,HIC,29674,2.1,11.949999999999998,0.0415284,2,62315.4,7446.690299999999,3.0924913345451994,148.93380599999998,5.1232155197999995E-3,55.48959852710899,78.44402826667226
Brunei,HIC,359871,0.87,2.9499999999999997,0.7691439,2,313087.77,9236.089215,71.03881679573038,184.7217843,7.1070078193500002E-4,93.35261939994159,341.03925308648184
Bulgaria,UMI,1002695,1.28,11.949999999999998,31.474274,2,1283449.6,153372.2272,48272.79502883053,3067.444544,5.1202249510399998E-2,18739.18744408314,25769.97514659884
Burma/Myanmar,LI,18988522,0.44,16.950000000000006,86.6572256,2,8354949.68,1416163.9707600004,1227208.4070074116,28323.27941520001,6.6120558852480013E-2,458269.0655442532,1149266.556957406
Cambodia,LI,1391254,0.6,10.949999999999998,86.9777499,2,834752.4,91405.38779999998,79502.3495958091,1828.1077559999997,5.8458381684299981E-2,29685.616933410318,62833.76513756504
Cameroon,LMI,1986723,0.77,5.950000000000002,81.4164091,2,1529776.71,91021.71424500002,74106.6112395422,1820.4342849000004,3.8217227829165007E-2,27713.3716164214,71863.46344261695
Canada,HIC,11846863,2.33,3.9499999999999997,1.17e-9,2,27603190.79,1090326.036205,1.2756814623598501e-5,21806.5207241,1.8407000010768097E-3,7959.380068952737,14667.581563690486
Cape Verde,LMI,522245,0.5,12.949999999999998,73.7316557,2,261122.5,33815.36375,24932.627573852606,676.307275,4.9036247065749994E-2,9347.2612198312,18475.018717956824
Cayman Islands,HIC,51864,2.1,11.949999999999998,0.00112,2,108914.40000000001,13015.270799999998,0.14577103295999996,260.305416,5.0218106399999999E-3,95.0646832670304,134.39017219989424
Channel Islands,HIC,153352,2.1,11.949999999999998,9.17e-9,2,322039.2,38483.6844,3.52895385948e-6,769.673688,5.0190000230121148E-3,280.9308974080681,354.9154590582388
Chile,UMI,5621550,1.08,10.949999999999998,6.9650088,2,6071274,664804.5029999998,46303.69213674625,13296.090059999997,1.0602019406879996E-2,21753.92050181238,42561.730000856725
China,UMI,262892387,1.1,10.949999999999998,74.3092106,2,289181625.70000005,31665388.014149997,23530299.866741877,633307.760283,9.1914444167699991E-2,8819716.78386408,17814776.524812505
Christmas Island,HIC,1402,2.1,11.949999999999998,9.17e-9,2,2944.2000000000003,351.83189999999996,3.226298523e-8,7.036637999999999,5.0190000230121139E-3,2.568372881775989,3.6308338911293783
Cocos Islands,HIC,596,2.1,11.949999999999998,9.17e-9,2,1251.6000000000001,149.56619999999998,1.371522054e-8,2.9913239999999996,5.0190000230121139E-3,1.0918332650060554,1.5434928666997927
Colombia8,UMI,7498563,1.2,11.95,21.4847023,2,8998275.6,1075293.9342,231023.7006128279,21505.878684,3.3677063098200004E-2,92173.29644334217,179973.07698017507
Comoros,LI,938595,2.23,8.949999999999998,82.87306559999999,2,2093066.85,187329.48307499994,155245.6853968856,3746.589661499999,0.16939390797775994,58032.18039631074,100870.01946722015
Congo Rep of,LMI,847807,0.53,12.949999999999998,76.9374119,2,449337.71,58189.23344499999,44769.2902170322,1163.7846688999998,5.4178692657564982E-2,16765.572333365253,39853.394252112004
"Congo, Dem rep. of",LI,1076056,0.5,8.949999999999998,84.5276425,2,538028,48153.50599999999,40703.02340289604,963.0701199999997,3.8721120018749985E-2,15208.124135857053,43479.88994231124
Cook Islands,UMI,20934,1.2,11.949999999999998,35.9520179,2,25120.8,3001.9355999999993,1079.2564242584722,60.03871199999999,5.442319366859999E-2,415.84272473434237,783.8196543595301
Costa Rica,UMI,2479298,1.36,18.950000000000006,16.047272800000002,2,3371845.2800000003,638964.6805600002,102536.40538511181,12779.293611200004,4.651143146016002E-2,42090.230133653815,75894.87197618702
Cote d'Ivoire8,LMI,6230583,0.79,12.949999999999998,81.62402180000001,2,4922160.57,637419.7938149999,520287.67146107054,12748.395876299997,8.5551555502489968E-2,194558.16457814022,537163.49502708
Croatia8,HIC,1602782,2.1,11.95,9.2121836,2,3365842.2,402218.1429,37053.07379645836,8044.3628579999995,2.8136974744199999E-2,16460.5643788773,19593.328688549173
Cuba,UMI,11333471,0.81,10.949999999999998,22.7010929,2,9180111.51,1005222.2103449997,228196.4278218518,20104.444206899992,2.1908634347654995E-2,90629.8182904944,180453.6922183597
Curacao,HIC,143784,2.1,11.949999999999998,0.0321997,2,301946.4,36082.5948,11.618487277815598,721.651896,5.0998051471499994E-3,267.64368989640263,378.3600842844972
Cyprus,HIC,840556,2.07,11.949999999999998,0.3998812,2,1739950.92,207924.13493999996,831.4495258876912,4158.4826987999995,5.9364661303799998E-3,1821.3252620110072,2610.8248489955754
Denmark,HIC,5376386,2.34,1.9499999999999997,8.17e-11,2,12580743.239999998,245324.49317999993,2.0043011092805994e-7,4906.489863599999,9.1260000003727949E-4,1790.8688002871565,4232.910262209596
Dhekelia,HIC,15700,2.1,11.949999999999998,0.05767049999999999,2,32970,3939.9149999999995,2.2721686800749996,78.7983,5.1637241197499996E-3,29.590721068227374,41.831539991647816
Djibouti,LMI,621744,0.79,12.949999999999998,72.6185435,2,491177.76,63607.51991999999,46190.85452237636,1272.1503983999999,7.6338500927674996E-2,17323.99679608337,45611.57181027261
Dominica,UMI,70138,1.24,11.949999999999998,18.6436527,2,86971.12,10393.048839999998,1937.643930670978,207.86097679999995,3.0589764570859993E-2,783.1092912269071,1428.4629449302001
Dominican Republic8,UMI,8232586,1.2,11.95,25.436823699999998,2,9879103.2,1180552.8324,300295.14266294445,23611.056647999998,3.9344405185799992E-2,118225.76274849472,228670.844549368
East Timor,LMI,668749,0.79,12.949999999999998,80.85205789999999,2,528311.7100000001,68416.36644499999,55316.04021118757,1368.3273288999999,8.476179783459499E-2,20689.79415213196,64204.810927420374
Ecuador,LMI,6400048,1.13,12.949999999999998,29.9981094,2,7232054.239999999,936551.0240799998,280947.60079033865,18731.020481599997,4.6824433390489986E-2,109382.6967642576,211020.82335072398
Egypt,LMI,21750943,1.37,12.949999999999998,66.6547727,2,29798791.910000004,3858943.5523449997,2572170.053436865,77178.87104689999,0.12180386498570499,967012.3574365742,1937427.8171359831
El Salvador,LMI,6410726,1.13,12.949999999999998,32.6752471,2,7244120.379999999,938113.5892099997,306530.9333530463,18762.271784199995,5.0742022843784977E-2,118732.01987509489,226859.53680650718
Equatorial Guinea,UMI,351600,1.2,11.949999999999998,30.4777225,2,421920,50419.439999999995,15366.697009253998,1008.3888,4.6573054064999994E-2,5976.90632037771,14124.130982400271
Eritrea,LI,1266222,0.5,8.949999999999998,76.6118431,2,633111,56663.43449999998,43410.901534211254,1133.2686899999997,3.5178799787249984E-2,16258.622131837108,43484.43966727385
Estonia,HIC,878021,1.47,11.949999999999998,8.6202755,2,1290690.8699999999,154237.55896499997,13295.702507257947,3084.7511792999994,1.8656106957074998E-2,5978.865595593651,8367.121081320702
Falkland Islands,HIC,2602,2.1,11.949999999999998,0.0321997,2,5464.2,652.9718999999999,0.21025499288429994,13.059437999999998,5.0998051471499994E-3,4.843437942402769,6.847027063569391
Faroe Islands,HIC,50554,2.1,11.949999999999998,9.17e-9,2,106163.40000000001,12686.5263,1.16335446171e-6,253.730526,5.0190000230121148E-3,92.61164241462438,130.9223798374854
Fiji,UMI,896145,2.1,8.949999999999998,78.1226027,2,1881904.5,168430.45274999994,131582.25342769368,3368.609054999999,0.15059043177464995,49257.064806183196,70995.34286658058
Finland,HIC,2927674,2.13,10.949999999999998,1.38e-9,2,6235945.62,682836.0453899999,9.423137426381999e-6,13656.720907799998,4.6647000032186423E-3,4984.703134786445,6421.851345614103
France,HIC,17287280,1.92,9.949999999999998,3.6799999999999997e-9,2,33191577.599999998,3302561.971199999,1.2153428054015996e-4,66051.23942399998,3.820800007030271E-3,24108.70243412001,34670.99106763802
French Guiana,UMI,167631,1.2,11.949999999999998,24.9009688,2,201157.19999999998,24038.285399999993,5985.765947508954,480.7657079999999,3.8575989259199993E-2,2360.284054260768,5577.179424238713
French Polynesia,HIC,270618,2.1,11.949999999999998,3.1874998000000003,2,568297.8,67911.58709999999,2164.6817029893255,1358.2317419999997,1.3018030748099998E-2,1285.8634074211036,1824.3131181356707
Gabon,UMI,862328,0.45,11.949999999999998,33.965529700000005,2,388047.60000000003,46371.6882,15750.389527962396,927.433764,1.9340463596175E-2,6087.405501566274,15446.418771649407
Georgia,LMI,1124249,1.69,3.9499999999999997,50.832158500000006,2,1899980.81,75049.241995,38149.14964394696,1500.9848399,3.5268107406674999E-2,14472.29908660414,24532.069458177015
Germany,HIC,8837035,2.11,22.950000000000006,3.2300000000000002e-9,2,18646143.849999998,4279290.013575001,1.3822106743847253e-4,85585.80027150002,9.6849000156411149E-3,31238.817149548195,33317.160448520255
Ghana8,LMI,7727702,0.79,4.950000000000002,81.0197026,2,6104884.58,302191.78671000013,244834.88687406844,6043.835734200003,3.2464854701730016E-2,91570.73375201797,325115.86190469866
Gibraltar,HIC,33483,2.1,11.949999999999998,0.1123642,2,70314.3,8402.55885,9.441468031331699,168.051177,5.3009779598999999E-3,64.78481543643608,91.58440551456096
Greece,HIC,9794702,2,9.949999999999998,9.48e-8,2,19589404,1949145.6979999996,0.0018477901217039997,38982.91395999999,3.9800001886519994E-3,14228.764269843392,18621.05478967946
