Country,Economic status1,Coastal population2,Waste generation rate [kg/person/day]3,% Plastic in waste stream4,% Inadequately managed waste5,% Littered waste6,Waste generation [kg/day]7,Plastic waste generation [kg/day]7,Inadequately managed plastic waste [kg/day]7,"Plastic waste littered
 [kg/day]7",Mismanaged plastic waste [kg/person/day]7,"Mismanaged plastic waste in 2010
 [tonnes]7","Mismanaged plastic waste in 2025
 [tonnes]7"
Greenland,HIC,57068,2.1,11.949999999999998,7.3899999999999995e-9,2,119842.8,14321.214599999998,1.0583377589399997e-6,286.424292,5.0190000185452053E-3,104.54486696629328,147.79203160810226
Grenada,UMI,96121,2.71,11.949999999999998,17.782894799999998,2,260487.91,31128.305244999996,5535.513774741231,622.5661048999999,6.406591566505998E-2,2247.699156069049,2451.7005926677302
Guadeloupe,UMI,466166,1.2,11.949999999999998,24.9009688,2,559399.2,66848.20439999999,16645.850521004224,1336.9640879999997,3.8575989259199993E-2,6563.727332286542,11501.537837218166
Guam,HIC,190809,2.1,11.949999999999998,0.24715050000000002,2,400698.9,47883.51854999999,118.34435551391775,957.6703709999999,5.6392241797499996E-3,392.74537517757994,573.9081290933498
Guatemala,LMI,2392442,2,13.949999999999998,35.582252,2,4784884,667491.318,237508.44284888133,13349.82636,0.10485448307999999,91563.26826124168,157697.97793791097
Guernsey,HIC,56289,2.1,11.949999999999998,9.17e-9,2,118206.90000000001,14125.724549999999,1.295328941235e-6,282.51449099999996,5.0190000230121148E-3,103.11778968779505,145.77461404977288
Guinea,LI,1996496,0.6,4.950000000000002,83.54382580000001,2,1197897.5999999999,59295.931200000014,49538.08946821586,1185.9186240000004,2.5406516262600005E-2,18514.26295365879,59889.10356731429
Guinea-Bissau,LI,1208106,0.6,8.949999999999998,83.47648439999999,2,724863.6,64875.292199999974,54155.613172787394,1297.5058439999996,4.5900872122799981E-2,20240.388441127398,51946.77590177273
Guyana,LMI,513235,5.33,10.949999999999998,36.4170034,2,2735542.55,299541.9092249999,109084.18726689312,5990.838184499998,0.2242150777935899,42002.38428975849,36103.309908068055
Haiti,LI,9155693,1,8.949999999999998,47.2784888,2,9155693,819434.5234999997,387416.2594162807,16388.690469999994,4.4104247475999982E-2,147388.80670849246,324177.50001151935
Honduras,LMI,3324144,1.45,12.949999999999998,39.9780198,2,4820008.8,624191.1395999999,249539.25737913357,12483.822791999997,7.882422667944998E-2,95638.42426246376,189169.04510280464
Hong Kong,HIC,7573074,1.99,19.950000000000006,0.5981377999999999,2,15070417.26,3006548.2433700007,17983.30151883197,60130.96486740001,1.0314736972890003E-2,28511.707230974676,37606.34995979008
Iceland,HIC,292708,1.56,17.950000000000006,2.19e-8,2,456624.48000000004,81964.09416000004,1.7950136621040008e-5,1639.2818832000007,5.6004000613243824E-3,598.3378939198002,883.4480186357368
India,LMI,187493433,0.34,2.9499999999999997,85.3857149,2,63747767.220000006,1880559.13299,1605728.8598207533,37611.182659800004,8.7647872044699995E-3,599819.115505402,2881294.449446173
Indonesia,LMI,187223476,0.52,10.949999999999998,80.67247429999999,2,97356207.52000001,10660504.723439999,8600092.933267418,213210.09446879997,4.7073706866419991E-2,3216855.6051237197,7415202.282553645
Iran8,UMI,9099695,1.2,11.949999999999998,49.9439866,2,10919634,1304896.2629999998,651717.2147366207,26097.925259999996,7.4487676784399992E-2,247402.52609876657,460067.2673981687
Iraq,LMI,639228,0.79,12.949999999999998,63.1997012,2,504990.12,65396.22053999999,41330.215977373024,1307.9244107999998,6.6702554312659992E-2,15562.921241683154,47694.08100052471
Ireland,HIC,3749576,3.58,11.949999999999998,5.13e-9,2,13423482.08,1604106.1085599998,8.229064336912799e-5,32082.122171199997,8.5562000219466527E-3,11709.974622524085,14044.831960741703
Isle of Man,HIC,81222,2.1,11.949999999999998,9.17e-9,2,170566.2,20382.6609,1.86909000453e-6,407.653218,5.0190000230121148E-3,148.79342525221782,210.34492889109154
Israel,HIC,6677810,2.12,13.949999999999998,0.6368292999999999,2,14156957.200000001,1974895.5293999999,12576.713375609314,39497.910588,7.798158971819999E-3,19007.237746717397,28210.896125912892
Italy,HIC,33822532,2.23,5.950000000000002,1.59e-8,2,75424246.36,4487742.658420001,7.135510826887802e-4,89754.85316840002,2.6537000210969156E-3,32760.521666912155,45057.64135072628
Jamaica,UMI,2820558,0.18,18.950000000000006,26.5310956,2,507700.44,96209.23338000003,25525.36368407492,1924.1846676000007,9.7319567091600032E-3,10019.085148361348,59574.846860455655
Japan,HIC,115228891,1.71,9.949999999999998,1.4900000000000002e-9,2,197041403.60999998,19605619.659194995,2.9212373292200546e-4,392112.3931838999,3.40290000253516E-3,143121.02361874864,177241.28702976173
Jersey,HIC,90076,2.1,11.949999999999998,9.17e-9,2,189159.6,22604.5722,2.07283927074e-6,452.09144399999997,5.0190000230121148E-3,165.0133778165863,233.27460312223243
Jordan8,UMI,55392,1.2,11.95,57.91241,2,66470.4,7943.212799999999,4600.10596390848,158.86425599999998,8.5914395939999985E-2,1737.024130266595,2974.8873129206445
Kenya,LI,2729945,0.3,8.949999999999998,82.6893004,2,818983.5,73299.02324999997,60610.449525458316,1465.9804649999994,2.2739077157399989E-2,22657.896946517285,87109.42999550019
Kiribati,LMI,94487,0.79,12.949999999999998,84.29105489999999,2,74644.73000000001,9666.492535,8147.988529581251,193.32985069999998,8.8280063715444987E-2,3044.581208802657,6977.271729250831
"Korea, North",LI,17327483,0.6,8.949999999999998,87.6064096,2,10396489.799999999,930485.8370999995,815165.2337198143,18609.71674199999,4.8118641955199971E-2,304327.85691856226,610606.6126139835
"Korea, South (Republic of Korea)",HIC,41654619,1.24,8.949999999999998,2.69e-7,2,51651727.56,4622829.616619999,0.012435411668707796,92456.59233239997,9.2330904382250908E-4,33746.66074025125,52764.46484692085
Kuwait,HIC,2293604,5.72,11.949999999999998,0.00781,2,13119414.879999999,1567770.0781599996,122.44284310429597,31355.401563199994,1.3724184473999996E-2,11489.413208301066,13479.006637357648
Latvia,UMI,1432078,1.03,11.949999999999998,13.984971600000002,2,1475040.34,176267.32062999997,24650.93473018644,3525.3464125999994,1.9675102293859999E-2,10284.34261711705,16653.87797502661
Lebanon,UMI,3890871,1.18,7.950000000000002,33.8900802,2,4591227.779999999,365002.60851,123699.67675613103,7300.0521702,3.3668484235620001E-2,47814.90105811082,101852.18307135085
Liberia,LI,2148271,0.6,13.949999999999998,84.4343869,2,1288962.5999999999,179810.28269999995,151821.70978090173,3596.205653999999,7.2345581835299974E-2,56727.53913373913,142787.08626743924
Libya,UMI,4050128,1.2,11.949999999999998,22.897282999999998,2,4860153.6,580788.3551999999,132984.75332118917,11615.767103999997,3.5702703821999991E-2,52779.18995519405,102576.5174881697
Lithuania,UMI,443894,1.1,11.949999999999998,14.333475400000001,2,488283.4,58349.866299999994,8363.56373204339,1166.997326,2.1470353413300003E-2,3478.654786185838,5477.921737625108
Macao,HIC,257911,1.47,24.950000000000006,0.0228142,2,379129.17,94592.72791500001,21.580574131983933,1891.8545583000002,7.4189745006300011E-3,698.4038233376742,1146.4439993409253
Madagascar,LI,7062413,0.8,1.9499999999999997,83.8471471,2,5649930.4,110173.64279999999,92377.45634394455,2203.472856,1.3392154947599998E-2,34522.03915797976,177625.19907459265
Malaysia,UMI,22890252,1.52,12.949999999999998,54.963718500000006,2,34793183.04,4505717.203679999,2476509.7202367466,90114.34407359999,0.1121273834954,936817.7834732766,1765977.4152452806
Maldives,LMI,392567,2.48,12.949999999999998,66.38379479999999,2,973566.16,126076.81771999998,83694.57596561481,2521.5363543999997,0.21962139537967995,31468.88099680541,40143.26453827537
Malta,HIC,404707,1.78,11.949999999999998,6.337683800000001,2,720378.46,86085.22596999998,5455.809420494083,1721.7045193999998,1.7735087210980001E-2,2619.79258806134,3756.6227997707956
Marshall Islands,UMI,58086,1.2,15.949999999999998,76.5411206,2,69703.2,11117.660399999997,8509.58185466244,222.35320799999994,0.15032770482839997,3187.1562978717907,5717.336514998004
Martinique,HIC,402257,2.1,11.949999999999998,0.0321997,2,844739.7000000001,100946.39415,32.504436077117546,2018.9278829999998,5.0998051471499994E-3,748.7727964631479,955.0283934240863
Mauritania,LI,1005481,0.5,8.949999999999998,82.3558926,2,502740.5,44995.27474999998,37056.260148184905,899.9054949999996,3.7749261938499985E-2,13854.00045976249,39753.87476001997
Mauritius,UMI,1255952,2.3,9.949999999999998,51.4281164,2,2888689.5999999996,287424.6151999999,147817.06566730802,5748.492303999998,0.12227024438139993,56051.428659527424,73172.03283368568
Mexico,UMI,22647771,1.24,6.950000000000002,12.2255324,2,28083236.04,1951784.9047800004,238616.0959121881,39035.69809560001,1.2259563822320003E-2,101342.90481284267,233392.7630359312
Micronesia,LMI,154895,0.79,12.949999999999998,80.8898832,2,122367.05,15846.532974999998,12818.242014726984,316.9306595,8.4800495007759991E-2,4794.338026092849,10698.808248508632
Monaco,HIC,34050,2.1,11.949999999999998,2.22e-14,2,71505,8544.847499999998,1.8969561449999996e-12,170.89694999999998,5.0190000000000555E-3,62.37738675000069,88.18109374187847
Montenegro,UMI,260336,1.2,11.949999999999998,30.410413899999998,2,312403.2,37332.1824,11352.871185742953,746.643648,4.6476533532599999E-2,4416.322914316177,7243.969704679542
Montserrat,UMI,5173,1.2,11.949999999999998,11.998385,2,6207.5999999999995,741.8081999999998,89.00500379756998,14.836163999999997,2.0073684089999995E-2,37.90202624611304,71.44131986614195
Morocco,LMI,17303431,1.46,4.950000000000002,65.944585,2,25263009.259999998,1250518.9583700004,824649.5374434195,25010.37916740001,4.9103551579500013E-2,310125.8695629491,706583.3428350964
Mozambique,LI,9566559,0.14,10.949999999999998,83.9252676,2,1339318.2600000002,146655.34947,123080.89449241267,2933.1069893999997,1.3172343523079999E-2,45995.11054086162,287066.92591388035
Namibia8,UMI,155084,1.2,11.949999999999998,65.5146914,2,186100.8,22239.045599999994,14569.842095145275,444.7809119999999,9.6816067467599978E-2,5480.337397608026,11340.140969352828
Nauru,UMI,15289,1.2,11.949999999999998,67.17277419999999,2,18346.8,2192.4425999999994,1472.7245171626087,43.84885199999999,9.9193758202799964E-2,553.5492797443522,1043.3819790820378
Netherlands,HIC,8971770,2.12,19.950000000000006,1.02e-9,2,19020152.400000002,3794520.403800002,3.870410811876002e-5,75890.40807600004,8.4588000043139926E-3,27699.99896186701,32387.32155480025
Netherlands Antilles,HIC,227165,2.1,11.949999999999998,3.3499999999999997e-7,2,477046.5,57007.05674999999,1.9097364011249994e-4,1140.1411349999998,5.0190008406824993E-3,416.15158398037863,367.7459444614865
New Caledonia,HIC,257904,2.1,11.949999999999998,1.14e-8,2,541598.4,64721.008799999996,7.3781950031999994e-6,1294.4201759999999,5.0190000286082998E-3,472.46336693304113,702.2558454225225
New Zealand,HIC,3862054,3.68,8.949999999999998,2.84e-8,2,14212358.72,1272006.1054399996,3.612497339449599e-4,25440.12210879999,6.5872000935382376E-3,9285.644701568152,11517.400071632852
Nicaragua,LMI,3482653,1.1,12.949999999999998,44.6182311,2,3830918.3000000003,496103.91984999995,221352.79345483176,9922.078397,6.640767020195E-2,84415.3282259186,169438.6227977885
Nigeria8,LMI,27477112,0.79,12.95,80.9889197,2,21706918.48,2811045.9431600003,2276635.74163596,56220.91886320001,8.4901814299084999E-2,851492.6810821935,2481008.465044096
Niue,HIC,1799,2.1,11.949999999999998,0.24715050000000002,2,3777.9,451.45904999999993,1.11578329937025,9.029181,5.6392241797499996E-3,3.702911969270141,5.23469873447577
Norfolk Island,LMI,2156,0.79,12.949999999999998,82.3562804,2,1703.24,220.56957999999997,181.6529017819023,4.4113916,8.6300692663219991E-2,67.91346708439434,155.63740344758384
Northern Mariana Islands,HIC,106256,2.1,11.949999999999998,0.24715050000000002,2,223137.6,26664.943199999998,65.902540443516,533.298864,5.6392241797500004E-3,218.70851262188336,309.1818503226555
Norway,HIC,4131679,2.8,9.949999999999998,2.22e-14,2,11568701.2,1151085.7693999996,2.555410408067999e-10,23021.715387999993,5.5720000000000604E-3,8402.92611662009,9798.185945680047
Oman,HIC,2597556,0.7,11.949999999999998,3.8733626,2,1818289.2,217285.55939999997,8416.257593000384,4345.711187999999,4.9130678149E-3,4658.1186050651395,11774.24186968291
Pakistan8,LMI,14581952,0.79,12.95,86.2432553,2,11519742.08,1491806.59936,1286582.574068293,29836.131987200002,9.0277262334665015E-2,480492.827710255,1221460.1016051194
Palau,UMI,23446,1.2,11.949999999999998,56.373422500000004,2,28135.2,3362.1563999999994,1895.3626324827899,67.24312799999998,8.3707487864999999E-2,716.3511025762183,1350.2462354729496
Palestine (Gaza Strip is only part on the coast),LMI,3045258,0.79,7.950000000000002,6.0207405,2,2405753.8200000003,191257.42869000006,11515.113468397452,3825.148573800001,5.0374260710250012E-3,5599.19564540207,18675.567167753572
Panama,UMI,3249531,1.21,11.949999999999998,18.0509523,2,3931932.51,469865.9349449999,84815.27579087098,9397.318698899999,2.8992674478184998E-2,34387.5969887664,70758.60878337656
Papua New Guinea,LMI,2747514,0.79,12.949999999999998,85.5623424,2,2170536.06,281084.41977,240502.41367666068,5621.6883953999995,8.9580654392320005E-2,89835.29725630215,242328.21588869343
Peru8,UMI,13765608,1.2,11.95,24.9883628,2,16518729.6,1973988.1871999998,493267.3298466791,39479.763743999996,3.8701312255199995E-2,194452.6891605979,377110.8566825223
Philippines,LMI,83446862,0.5,14.949999999999998,80.7347824,2,41723431,6237652.934499999,5035955.523535789,124753.05868999998,6.1844249843999999E-2,1883658.632512413,5088394.475121753
Poland,UMI,3272933,0.88,10.949999999999998,11.641591499999999,2,2880181.04,315379.8238799999,36715.23076952904,6307.596477599998,1.3145037569399994E-2,15703.331945202097,26855.4032177415
Portugal,HIC,8507951,2.21,11.949999999999998,2.93e-7,2,18802571.71,2246907.3193449997,0.0065834384456808495,44938.14638689999,5.2819007737983491E-3,16402.42583417353,19381.610531349343
Puerto Rico,HIC,4249848,2.1,11.949999999999998,2.243121,2,8924680.8,1066499.3556,23922.871010328272,21329.987112,1.0648112149499999E-2,16517.293214649817,20481.38523359128
Qatar,HIC,653007,1.33,11.949999999999998,1.8899999999999999e-4,2,868499.31,103785.66754499999,0.19615491166004997,2075.7133509,3.17900038715E-3,757.7069696212559,1560.1717594500099
Reunion,UMI,809426,1.2,11.949999999999998,9.44e-6,2,971311.2,116071.68839999997,0.010957167384959996,2321.4337679999994,2.8680135369599995E-3,847.3273246860954,1614.800320745046
Romania,UMI,875170,1.04,3.9499999999999997,25.512732900000003,2,910176.8,35951.9836,9172.333548119805,719.039672,1.1302230675320001E-2,3610.351225343729,8261.076720598563
Russia,UMI,10812537,0.93,11.949999999999998,16.4129,2,10055659.41,1201651.299495,197225.82613481485,24033.025989899998,2.0463176414999999E-2,80759.48102552092,128946.34248723094
Saint Helena,UMI,6839,1.2,11.949999999999998,24.9009688,2,8206.8,980.7125999999997,244.20693854366874,19.614251999999993,3.8575989259199993E-2,96.2947345484391,181.50541313093441
