id,cruise,date,year,month,Latitude,Longitude,chla_ug_l,depth_m,BHI_ID,HELCOM_COASTAL_CODE,HELCOM_ID
200500521,Unknown (Denmark),2005-05-02,2005,05,55.1454,11.7443,0.8,1,NA,NA,NA
200500531,Unknown (Denmark),2005-05-25,2005,05,55.1454,11.7443,0.69,1,NA,NA,NA
200500541,Unknown (Denmark),2005-06-09,2005,06,55.1454,11.7443,1.58,1,NA,NA,NA
200500551,Unknown (Denmark),2005-06-21,2005,06,55.1454,11.7443,1.11,1,NA,NA,NA
200500561,Unknown (Denmark),2005-07-05,2005,07,55.1454,11.7443,1.8,1,NA,NA,NA
200500571,Unknown (Denmark),2005-07-21,2005,07,55.1454,11.7443,1.45,1,NA,NA,NA
200500581,Unknown (Denmark),2005-08-04,2005,08,55.1454,11.7443,0.97,1,NA,NA,NA
200500591,Unknown (Denmark),2005-08-22,2005,08,55.1454,11.7443,0.62,1,NA,NA,NA
200500601,Unknown (Denmark),2005-08-31,2005,08,55.1454,11.7443,0.28,1,NA,NA,NA
200500611,Unknown (Denmark),2005-09-13,2005,09,55.1454,11.7443,0.95,1,NA,NA,NA
200500621,Unknown (Denmark),2005-09-28,2005,09,55.1454,11.7443,0.59,1,NA,NA,NA
200501841,Unknown (Denmark),2005-05-25,2005,05,55.8662,11.7952,1.81,1.05,NA,NA,NA
200501841,Unknown (Denmark),2005-05-25,2005,05,55.8662,11.7952,1.8,8.85,NA,NA,NA
200501851,Unknown (Denmark),2005-05-30,2005,05,55.8662,11.7952,1.42,1,NA,NA,NA
200501851,Unknown (Denmark),2005-05-30,2005,05,55.8662,11.7952,2.6,8.6,NA,NA,NA
200501861,Unknown (Denmark),2005-06-06,2005,06,55.8662,11.7952,2.46,1,NA,NA,NA
200501861,Unknown (Denmark),2005-06-06,2005,06,55.8662,11.7952,2.11,9,NA,NA,NA
200501871,Unknown (Denmark),2005-06-22,2005,06,55.8662,11.7952,2.18,1,NA,NA,NA
200501871,Unknown (Denmark),2005-06-22,2005,06,55.8662,11.7952,2.23,9,NA,NA,NA
200501881,Unknown (Denmark),2005-06-27,2005,06,55.8662,11.7952,1.38,1,NA,NA,NA
200501881,Unknown (Denmark),2005-06-27,2005,06,55.8662,11.7952,1.67,9,NA,NA,NA
200501891,Unknown (Denmark),2005-07-05,2005,07,55.8662,11.7952,2.26,1,NA,NA,NA
200501891,Unknown (Denmark),2005-07-05,2005,07,55.8662,11.7952,1.63,9.5,NA,NA,NA
200501901,Unknown (Denmark),2005-07-11,2005,07,55.8662,11.7952,1.01,1,NA,NA,NA
200501901,Unknown (Denmark),2005-07-11,2005,07,55.8662,11.7952,4.16,9.8,NA,NA,NA
200501911,Unknown (Denmark),2005-08-17,2005,08,55.8662,11.7952,3.1,1,NA,NA,NA
200501911,Unknown (Denmark),2005-08-17,2005,08,55.8662,11.7952,2.95,9.4,NA,NA,NA
200501921,Unknown (Denmark),2005-08-22,2005,08,55.8662,11.7952,1.56,1,NA,NA,NA
200501921,Unknown (Denmark),2005-08-22,2005,08,55.8662,11.7952,4.51,9.4,NA,NA,NA
200501931,Unknown (Denmark),2005-09-05,2005,09,55.8662,11.7952,1.77,1,NA,NA,NA
200501931,Unknown (Denmark),2005-09-05,2005,09,55.8662,11.7952,3.14,8.6,NA,NA,NA
200501941,Unknown (Denmark),2005-09-19,2005,09,55.8662,11.7952,4.03,1,NA,NA,NA
200501941,Unknown (Denmark),2005-09-19,2005,09,55.8662,11.7952,2.05,8.8,NA,NA,NA
200508491,Unknown (Denmark),2005-05-23,2005,05,55.8228,11.1652,0.27,1,NA,NA,NA
200508491,Unknown (Denmark),2005-05-23,2005,05,55.8228,11.1652,11.4,19.2,NA,NA,NA
200508501,Unknown (Denmark),2005-06-28,2005,06,55.8228,11.1652,0.76,1,NA,NA,NA
200508501,Unknown (Denmark),2005-06-28,2005,06,55.8228,11.1652,3.68,19,NA,NA,NA
200508511,Unknown (Denmark),2005-07-07,2005,07,55.8228,11.1652,1.95,1,NA,NA,NA
200508511,Unknown (Denmark),2005-07-07,2005,07,55.8228,11.1652,6.83,18.4,NA,NA,NA
200508521,Unknown (Denmark),2005-07-13,2005,07,55.8228,11.1652,2.55,1,NA,NA,NA
200508521,Unknown (Denmark),2005-07-13,2005,07,55.8228,11.1652,4.59,19.5,NA,NA,NA
200508531,Unknown (Denmark),2005-08-15,2005,08,55.8228,11.1652,0.65,1,NA,NA,NA
200508531,Unknown (Denmark),2005-08-15,2005,08,55.8228,11.1652,1.34,19,NA,NA,NA
200508541,Unknown (Denmark),2005-08-24,2005,08,55.8228,11.1652,1.32,1,NA,NA,NA
200508541,Unknown (Denmark),2005-08-24,2005,08,55.8228,11.1652,7.76,18,NA,NA,NA
200508551,Unknown (Denmark),2005-09-07,2005,09,55.8228,11.1652,1.59,1,NA,NA,NA
200508551,Unknown (Denmark),2005-09-07,2005,09,55.8228,11.1652,2.71,18,NA,NA,NA
200508561,Unknown (Denmark),2005-09-21,2005,09,55.8228,11.1652,2.05,1,NA,NA,NA
200508561,Unknown (Denmark),2005-09-21,2005,09,55.8228,11.1652,1.21,18.6,NA,NA,NA
200511481,Unknown (Denmark),2005-05-23,2005,05,55.7078,10.9385,1.29,1,NA,NA,NA
200511481,Unknown (Denmark),2005-05-23,2005,05,55.7078,10.9385,4.08,15.8,NA,NA,NA
200511491,Unknown (Denmark),2005-06-28,2005,06,55.7078,10.9385,0.81,1,NA,NA,NA
200511491,Unknown (Denmark),2005-06-28,2005,06,55.7078,10.9385,4.05,16,NA,NA,NA
200511501,Unknown (Denmark),2005-07-07,2005,07,55.7078,10.9385,3.62,1,NA,NA,NA
200511501,Unknown (Denmark),2005-07-07,2005,07,55.7078,10.9385,2.05,16,NA,NA,NA
200511511,Unknown (Denmark),2005-07-13,2005,07,55.7078,10.9385,2.3,1,NA,NA,NA
200511511,Unknown (Denmark),2005-07-13,2005,07,55.7078,10.9385,3.2,15.7,NA,NA,NA
200511521,Unknown (Denmark),2005-08-15,2005,08,55.7078,10.9385,0.88,1,NA,NA,NA
200511521,Unknown (Denmark),2005-08-15,2005,08,55.7078,10.9385,5.52,15.6,NA,NA,NA
200511531,Unknown (Denmark),2005-08-24,2005,08,55.7078,10.9385,2.14,1,NA,NA,NA
200511531,Unknown (Denmark),2005-08-24,2005,08,55.7078,10.9385,2.86,15.2,NA,NA,NA
200511541,Unknown (Denmark),2005-09-07,2005,09,55.7078,10.9385,2.01,1,NA,NA,NA
200511541,Unknown (Denmark),2005-09-07,2005,09,55.7078,10.9385,3.1,15,NA,NA,NA
200511551,Unknown (Denmark),2005-09-21,2005,09,55.7078,10.9385,2.27,1,NA,NA,NA
200511551,Unknown (Denmark),2005-09-21,2005,09,55.7078,10.9385,1.36,15.2,NA,NA,NA
200511691,Unknown (Denmark),2005-05-23,2005,05,55.672,11.0575,0.65,1,NA,NA,NA
200511691,Unknown (Denmark),2005-05-23,2005,05,55.672,11.0575,5.36,15.4,NA,NA,NA
200511701,Unknown (Denmark),2005-06-28,2005,06,55.672,11.0575,1.7,1,NA,NA,NA
200511701,Unknown (Denmark),2005-06-28,2005,06,55.672,11.0575,3.74,15,NA,NA,NA
200511711,Unknown (Denmark),2005-07-07,2005,07,55.672,11.0575,11.7,1,NA,NA,NA
200511711,Unknown (Denmark),2005-07-07,2005,07,55.672,11.0575,2.67,15.7,NA,NA,NA
200511721,Unknown (Denmark),2005-07-13,2005,07,55.672,11.0575,2.52,1,NA,NA,NA
200511721,Unknown (Denmark),2005-07-13,2005,07,55.672,11.0575,2.98,15.1,NA,NA,NA
200511731,Unknown (Denmark),2005-08-15,2005,08,55.672,11.0575,1.73,1,NA,NA,NA
200511731,Unknown (Denmark),2005-08-15,2005,08,55.672,11.0575,2.26,15.2,NA,NA,NA
200511741,Unknown (Denmark),2005-08-24,2005,08,55.672,11.0575,2.11,1,NA,NA,NA
200511741,Unknown (Denmark),2005-08-24,2005,08,55.672,11.0575,1.67,10.8,NA,NA,NA
200511751,Unknown (Denmark),2005-09-07,2005,09,55.672,11.0575,1.82,1,NA,NA,NA
200511751,Unknown (Denmark),2005-09-07,2005,09,55.672,11.0575,3.61,14.2,NA,NA,NA
200511761,Unknown (Denmark),2005-09-21,2005,09,55.672,11.0575,2.51,15.2,NA,NA,NA
200513961,Unknown (Denmark),2005-05-10,2005,05,55.675,10.0917,1.55,1,3,38,SEA-002
200513961,Unknown (Denmark),2005-05-10,2005,05,55.675,10.0917,1.83,5,3,38,SEA-002
200513961,Unknown (Denmark),2005-05-10,2005,05,55.675,10.0917,2.52,10,3,38,SEA-002
200513961,Unknown (Denmark),2005-05-10,2005,05,55.675,10.0917,1.29,15.1,3,38,SEA-002
200513971,Unknown (Denmark),2005-06-08,2005,06,55.675,10.0917,1.73,1,3,38,SEA-002
200513971,Unknown (Denmark),2005-06-08,2005,06,55.675,10.0917,2.15,5,3,38,SEA-002
200513971,Unknown (Denmark),2005-06-08,2005,06,55.675,10.0917,2.25,10,3,38,SEA-002
200513971,Unknown (Denmark),2005-06-08,2005,06,55.675,10.0917,1.99,12.9,3,38,SEA-002
200513981,Unknown (Denmark),2005-06-21,2005,06,55.675,10.0917,1.13,1,3,38,SEA-002
200513981,Unknown (Denmark),2005-06-21,2005,06,55.675,10.0917,1.59,5,3,38,SEA-002
200513981,Unknown (Denmark),2005-06-21,2005,06,55.675,10.0917,1.75,10,3,38,SEA-002
200513981,Unknown (Denmark),2005-06-21,2005,06,55.675,10.0917,1.19,15.5,3,38,SEA-002
200513991,Unknown (Denmark),2005-07-06,2005,07,55.675,10.0917,3.12,1,3,38,SEA-002
200513991,Unknown (Denmark),2005-07-06,2005,07,55.675,10.0917,3.12,5,3,38,SEA-002
200513991,Unknown (Denmark),2005-07-06,2005,07,55.675,10.0917,3.54,10,3,38,SEA-002
200513991,Unknown (Denmark),2005-07-06,2005,07,55.675,10.0917,1.58,14.9,3,38,SEA-002
200514001,Unknown (Denmark),2005-07-19,2005,07,55.675,10.0917,3.54,1,3,38,SEA-002
200514001,Unknown (Denmark),2005-07-19,2005,07,55.675,10.0917,3.36,5,3,38,SEA-002
200514001,Unknown (Denmark),2005-07-19,2005,07,55.675,10.0917,4.62,10,3,38,SEA-002
200514001,Unknown (Denmark),2005-07-19,2005,07,55.675,10.0917,1.83,12.4,3,38,SEA-002
200514011,Unknown (Denmark),2005-08-02,2005,08,55.675,10.0917,3.36,1,3,38,SEA-002
200514011,Unknown (Denmark),2005-08-02,2005,08,55.675,10.0917,3.36,5,3,38,SEA-002
200514011,Unknown (Denmark),2005-08-02,2005,08,55.675,10.0917,3.24,10,3,38,SEA-002
200514011,Unknown (Denmark),2005-08-02,2005,08,55.675,10.0917,1.19,15.4,3,38,SEA-002
200514021,Unknown (Denmark),2005-08-16,2005,08,55.675,10.0917,1.62,1,3,38,SEA-002
200514021,Unknown (Denmark),2005-08-16,2005,08,55.675,10.0917,2.4,5,3,38,SEA-002
200514021,Unknown (Denmark),2005-08-16,2005,08,55.675,10.0917,4.08,10,3,38,SEA-002
200514021,Unknown (Denmark),2005-08-16,2005,08,55.675,10.0917,4.32,14.9,3,38,SEA-002
200514031,Unknown (Denmark),2005-08-30,2005,08,55.675,10.0917,2.46,1,3,38,SEA-002
200514031,Unknown (Denmark),2005-08-30,2005,08,55.675,10.0917,2.46,5,3,38,SEA-002
200514031,Unknown (Denmark),2005-08-30,2005,08,55.675,10.0917,3.66,10,3,38,SEA-002
200514031,Unknown (Denmark),2005-08-30,2005,08,55.675,10.0917,2.25,15.4,3,38,SEA-002
200514041,Unknown (Denmark),2005-09-13,2005,09,55.675,10.0917,2.01,1,3,38,SEA-002
200514041,Unknown (Denmark),2005-09-13,2005,09,55.675,10.0917,2.23,5,3,38,SEA-002
200514041,Unknown (Denmark),2005-09-13,2005,09,55.675,10.0917,2.09,10,3,38,SEA-002
200514041,Unknown (Denmark),2005-09-13,2005,09,55.675,10.0917,1.32,14.7,3,38,SEA-002
200514051,Unknown (Denmark),2005-09-27,2005,09,55.675,10.0917,3.3,1,3,38,SEA-002
200514051,Unknown (Denmark),2005-09-27,2005,09,55.675,10.0917,3.12,5,3,38,SEA-002
200514051,Unknown (Denmark),2005-09-27,2005,09,55.675,10.0917,3.6,10,3,38,SEA-002
200514051,Unknown (Denmark),2005-09-27,2005,09,55.675,10.0917,4.8,13.3,3,38,SEA-002
200515591,Unknown (Denmark),2005-05-11,2005,05,54.9983,10.1617,1.77,1,3,38,SEA-002
200515591,Unknown (Denmark),2005-05-11,2005,05,54.9983,10.1617,1.65,5,3,38,SEA-002
200515591,Unknown (Denmark),2005-05-11,2005,05,54.9983,10.1617,1.4,10,3,38,SEA-002
200515591,Unknown (Denmark),2005-05-11,2005,05,54.9983,10.1617,0.82,15.4,3,38,SEA-002
200515591,Unknown (Denmark),2005-05-11,2005,05,54.9983,10.1617,0.83,20,3,38,SEA-002
200515601,Unknown (Denmark),2005-05-31,2005,05,54.9983,10.1617,2.76,1,3,38,SEA-002
200515601,Unknown (Denmark),2005-05-31,2005,05,54.9983,10.1617,2.58,5,3,38,SEA-002
200515601,Unknown (Denmark),2005-05-31,2005,05,54.9983,10.1617,2.94,10,3,38,SEA-002
200515601,Unknown (Denmark),2005-05-31,2005,05,54.9983,10.1617,1.91,12.4,3,38,SEA-002
200515601,Unknown (Denmark),2005-05-31,2005,05,54.9983,10.1617,1.02,20,3,38,SEA-002
200515611,Unknown (Denmark),2005-06-09,2005,06,54.9983,10.1617,1.61,1,3,38,SEA-002
200515611,Unknown (Denmark),2005-06-09,2005,06,54.9983,10.1617,2.16,5,3,38,SEA-002
200515611,Unknown (Denmark),2005-06-09,2005,06,54.9983,10.1617,2.52,10,3,38,SEA-002
200515611,Unknown (Denmark),2005-06-09,2005,06,54.9983,10.1617,0.98,13.8,3,38,SEA-002
200515611,Unknown (Denmark),2005-06-09,2005,06,54.9983,10.1617,0.97,20,3,38,SEA-002
200515621,Unknown (Denmark),2005-06-23,2005,06,54.9983,10.1617,1.06,1,3,38,SEA-002
200515621,Unknown (Denmark),2005-06-23,2005,06,54.9983,10.1617,1.12,5,3,38,SEA-002
200515621,Unknown (Denmark),2005-06-23,2005,06,54.9983,10.1617,1.28,10,3,38,SEA-002
200515621,Unknown (Denmark),2005-06-23,2005,06,54.9983,10.1617,0.98,16.1,3,38,SEA-002
200515621,Unknown (Denmark),2005-06-23,2005,06,54.9983,10.1617,1.34,20,3,38,SEA-002
200515631,Unknown (Denmark),2005-07-07,2005,07,54.9983,10.1617,3.36,1,3,38,SEA-002
200515631,Unknown (Denmark),2005-07-07,2005,07,54.9983,10.1617,2.88,5,3,38,SEA-002
200515631,Unknown (Denmark),2005-07-07,2005,07,54.9983,10.1617,3.48,10,3,38,SEA-002
200515631,Unknown (Denmark),2005-07-07,2005,07,54.9983,10.1617,1.1,16.4,3,38,SEA-002
200515631,Unknown (Denmark),2005-07-07,2005,07,54.9983,10.1617,2.04,20,3,38,SEA-002
200515641,Unknown (Denmark),2005-07-26,2005,07,54.9983,10.1617,2.94,1,3,38,SEA-002
200515641,Unknown (Denmark),2005-07-26,2005,07,54.9983,10.1617,3.72,5,3,38,SEA-002
200515641,Unknown (Denmark),2005-07-26,2005,07,54.9983,10.1617,5.04,10,3,38,SEA-002
200515641,Unknown (Denmark),2005-07-26,2005,07,54.9983,10.1617,2.58,13,3,38,SEA-002
200515641,Unknown (Denmark),2005-07-26,2005,07,54.9983,10.1617,1.71,20,3,38,SEA-002
200515651,Unknown (Denmark),2005-08-03,2005,08,54.9983,10.1617,3.06,1,3,38,SEA-002
200515651,Unknown (Denmark),2005-08-03,2005,08,54.9983,10.1617,3.66,5,3,38,SEA-002
200515651,Unknown (Denmark),2005-08-03,2005,08,54.9983,10.1617,3.3,10,3,38,SEA-002
200515651,Unknown (Denmark),2005-08-03,2005,08,54.9983,10.1617,1.41,15.5,3,38,SEA-002
200515651,Unknown (Denmark),2005-08-03,2005,08,54.9983,10.1617,1.13,20,3,38,SEA-002
200515661,Unknown (Denmark),2005-08-17,2005,08,54.9983,10.1617,1.49,1,3,38,SEA-002
200515661,Unknown (Denmark),2005-08-17,2005,08,54.9983,10.1617,2.49,5,3,38,SEA-002
200515661,Unknown (Denmark),2005-08-17,2005,08,54.9983,10.1617,2.7,10,3,38,SEA-002
200515661,Unknown (Denmark),2005-08-17,2005,08,54.9983,10.1617,2.04,16.1,3,38,SEA-002
200515661,Unknown (Denmark),2005-08-17,2005,08,54.9983,10.1617,1.73,20,3,38,SEA-002
200515671,Unknown (Denmark),2005-08-31,2005,08,54.9983,10.1617,2.94,1,3,38,SEA-002
200515671,Unknown (Denmark),2005-08-31,2005,08,54.9983,10.1617,3.3,5,3,38,SEA-002
200515671,Unknown (Denmark),2005-08-31,2005,08,54.9983,10.1617,3.48,10,3,38,SEA-002
200515671,Unknown (Denmark),2005-08-31,2005,08,54.9983,10.1617,2.94,16.8,3,38,SEA-002
200515671,Unknown (Denmark),2005-08-31,2005,08,54.9983,10.1617,2.64,20,3,38,SEA-002
200515681,Unknown (Denmark),2005-09-15,2005,09,54.9983,10.1617,3.12,1,3,38,SEA-002
200515681,Unknown (Denmark),2005-09-15,2005,09,54.9983,10.1617,3.09,5,3,38,SEA-002
200515681,Unknown (Denmark),2005-09-15,2005,09,54.9983,10.1617,3.42,10,3,38,SEA-002
200515681,Unknown (Denmark),2005-09-15,2005,09,54.9983,10.1617,2.94,15,3,38,SEA-002
200515681,Unknown (Denmark),2005-09-15,2005,09,54.9983,10.1617,3.3,20,3,38,SEA-002
200515701,Unknown (Denmark),2005-09-29,2005,09,54.9983,10.1617,2.52,1,3,38,SEA-002
200515701,Unknown (Denmark),2005-09-29,2005,09,54.9983,10.1617,2.55,5,3,38,SEA-002
200515701,Unknown (Denmark),2005-09-29,2005,09,54.9983,10.1617,2.76,10,3,38,SEA-002
200515701,Unknown (Denmark),2005-09-29,2005,09,54.9983,10.1617,1.17,20,3,38,SEA-002
200515861,Unknown (Denmark),2005-05-12,2005,05,54.9883,10.225,1.67,1,NA,NA,NA
200515871,Unknown (Denmark),2005-05-31,2005,05,54.9883,10.225,2.05,1,NA,NA,NA
200515881,Unknown (Denmark),2005-06-09,2005,06,54.9883,10.225,1.55,1,NA,NA,NA
200515901,Unknown (Denmark),2005-06-23,2005,06,54.9883,10.225,1.02,1,NA,NA,NA
200515911,Unknown (Denmark),2005-07-07,2005,07,54.9883,10.225,3,1,NA,NA,NA
200515931,Unknown (Denmark),2005-07-26,2005,07,54.9883,10.225,3.78,1,NA,NA,NA
200515941,Unknown (Denmark),2005-08-04,2005,08,54.9883,10.225,3,1,NA,NA,NA
200515951,Unknown (Denmark),2005-08-17,2005,08,54.9883,10.225,1.94,1,NA,NA,NA
200515961,Unknown (Denmark),2005-09-01,2005,09,54.9883,10.225,3.63,1,NA,NA,NA
200515971,Unknown (Denmark),2005-09-15,2005,09,54.9883,10.225,3.42,1,NA,NA,NA
200515991,Unknown (Denmark),2005-09-29,2005,09,54.9883,10.225,2.46,1,NA,NA,NA
200516511,Unknown (Denmark),2005-05-03,2005,05,55.845,10.0267,5.41,1,NA,NA,NA
200516521,Unknown (Denmark),2005-05-10,2005,05,55.845,10.0267,5.07,1,NA,NA,NA
200516531,Unknown (Denmark),2005-05-19,2005,05,55.845,10.0267,6.85,1,NA,NA,NA
