country,sector,sub_sector,activity,persons_employed_2009,persons_employed_2018,persons_employed_delta_2018_09,turnover_2009,turnover_2018,turnover_delta_2018_09,value_added_at_factor_cost_2009,value_added_at_factor_cost_2018,value_added_at_factor_cost_delta_2018_09,gva_to_turnover_2009,gva_to_turnover_2018,gva_to_turnover_delta_2018_09,gross_operating_surplus_2009,gross_operating_surplus_2018,gross_operating_surplus_delta_2018_09,gross_profit_margin_2009,gross_profit_margin_2018,gross_profit_margin_delta_2018_09,personnel_costs_per_employee_2009,personnel_costs_per_employee_2018,personnel_costs_per_employee_delta_2018_09
Denmark,Marine living resources,Primary production,Capture fisheries (SSCF),378,278,-0.26,25.1,23.1,-0.08,12.3,11.4,-0.08,0.49,0.49,0,5,1.7,0.65,-0.2,-0.07,0.62,45.8,47.2,0.03
Denmark,Marine living resources,Primary production,Capture fisheries (LSF),1317,999,-0.24,292.7,375.6,0.28,175.1,240.8,0.38,0.6,0.64,0.07,75.9,137.1,0.81,0.26,0.36,0.41,75.3,103.8,0.38
Denmark,Marine living resources,Primary production,Capture fisheries (DWF),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,Marine living resources,Primary production,Manne aquaculture,90,150,0.67,42.7,63.3,0.48,3.8,14.6,2.87,0.09,0.23,1.61,0.6,7.2,12.82,-0.01,0.11,8.97,36.1,36.9,0.02
Denmark,Marine living resources,Primary production,Freshwater aquaculture,375,389,0.04,95.7,124.8,0.3,23.7,29.6,0.25,0.25,0.24,-0.04,0.5,4.7,10.57,-0.01,0.04,8.41,47.3,46.4,-0.02
Denmark,Marine living resources,Primary production,Shellfish aquaculture,25,10,-0.6,1.8,1.4,-0.22,0.6,0.8,0.34,0.34,0.57,0.7,0.9,0.2,1.26,-0.51,0.17,1.33,44.7,46.2,0.03
Denmark,Marine living resources,Processing of fish products,"Processing and preserving of fish, crustaceans and molluscs",4175,3673,-0.12,1668,2650.5,0.59,279.7,273.5,-0.02,0.17,0.1,-0.38,86.3,74.1,-0.14,0.05,0.03,-0.46,46.3,54.3,0.17
Denmark,Marine living resources,Processing of fish products,Manufacture of oils and fats,77,43,-0.44,64.2,76.6,0.19,11.3,8.3,-0.27,0.18,0.11,-0.39,5.7,4.9,-0.13,0.09,0.06,-0.27,73,77.5,0.06
Denmark,Marine living resources,Processing of fish products,Prepared meals and dishes,20,1,-0.95,5.7,0.1,-0.98,13,0,-0.98,0.22,0.27,0.22,0.3,0,-0.97,0.06,0.05,-0.13,45.5,22.4,-0.51
Denmark,Marine living resources,Processing of fish products,Other food products,1,NA,NA,0.3,0,-0.89,0.1,0,-0.89,0.34,0.34,0.02,0,NA,NA,0.12,0.11,-0.02,61.5,62,0.01
