year,country,area,farm_species,produced_tonnes,p_kg,n_kg,source
1997,FI,Uusimaa,Rainbow trout,294.04743599600215,NA,NA,national
1997,FI,Varsinais_Suomi,Rainbow trout,5029.706311985854,NA,NA,national
1997,FI,Kaakkois_Suomi,Rainbow trout,529.2853847928038,NA,NA,national
1997,FI,Ostrobothnia,Rainbow trout,1328.6957023141385,NA,NA,national
1997,FI,Kainuu,Rainbow trout,218.29284231567618,NA,NA,national
1997,FI,Aland,Rainbow trout,5563.9755516260475,NA,NA,national
1998,FI,Uusimaa,Rainbow trout,139.82048383450146,NA,NA,national
1998,FI,Varsinais_Suomi,Rainbow trout,5244.7555957494915,NA,NA,national
1998,FI,Kaakkois_Suomi,Rainbow trout,585.0644359032331,NA,NA,national
1998,FI,Ostrobothnia,Rainbow trout,1236.5683924937825,NA,NA,national
1998,FI,Kainuu,Rainbow trout,219.15125480443137,NA,NA,national
1998,FI,Aland,Rainbow trout,5732.63983721456,NA,NA,national
1999,FI,Uusimaa,Rainbow trout,169.30775254502743,NA,NA,national
1999,FI,Varsinais_Suomi,Rainbow trout,4856.144714173845,NA,NA,national
1999,FI,Kaakkois_Suomi,Rainbow trout,747.9418950665623,NA,NA,national
1999,FI,Ostrobothnia,Rainbow trout,1295.7022709475334,NA,NA,national
1999,FI,Kainuu,Rainbow trout,258.94126859827725,NA,NA,national
1999,FI,Aland,Rainbow trout,5390.958026624902,NA,NA,national
2000,FI,Uusimaa,Rainbow trout,232.78409518789064,NA,NA,national
2000,FI,Varsinais_Suomi,Rainbow trout,5721.116800963928,NA,NA,national
2000,FI,Kaakkois_Suomi,Rainbow trout,538.1888696437985,NA,NA,national
2000,FI,Ostrobothnia,Rainbow trout,1309.1618344754875,NA,NA,national
2000,FI,Kainuu,Rainbow trout,218.85684162964077,NA,NA,national
2000,FI,Aland,Rainbow trout,5189.891558099254,NA,NA,national
2001,FI,Uusimaa,Rainbow trout,166.98840030326005,NA,NA,national
2001,FI,Varsinais_Suomi,Rainbow trout,5667.724639878696,NA,NA,national
2001,FI,Kaakkois_Suomi,Rainbow trout,736.1322971948446,NA,NA,national
2001,FI,Ostrobothnia,Rainbow trout,1203.5021986353297,NA,NA,national
