OriginalUnit,ConvertUnit,ConvertFactor
mg/kg,mg/kg,1
mg/kg,ng/g,1000
mg/kg,pg/g,1000000
mg/kg,ug/kg,1000
ng/g,mg/kg,0.001
ng/g,ng/g,1
ng/g,pg/g,1000
ng/g,ug/kg,1
pg/g,pg/g,1
pg/g,mg/kg,1e-6
pg/g,ng/g,0.001
pg/g,ug/kg,0.001
ug/kg,mg/kg,0.001
ug/kg,ng/g,1
ug/kg,pg/g,1000
ug/kg,ug/kg,1
ng/kg,pg/g,1
ng/kg,ug/kg,0.001
ug/g,ug/kg,1000
cm,mm,10
