year,country,source,area,level,region_id,farm_species,produced_tonnes,n_kg,p_kg,rgn_area_km2,area_fraction,split_production,split_N,split_P
1997,FI,national,Uusimaa,2,32,Rainbow trout,294.04743599600215,NA,NA,9549.67733,1,294.04743599600215,NA,NA
1997,FI,national,Varsinais_Suomi,2,36,Rainbow trout,5029.706311985854,NA,NA,12405.68538,0.305992313862217,1539.0514724519492,NA,NA
1997,FI,national,Varsinais_Suomi,2,38,Rainbow trout,5029.706311985854,NA,NA,28136.78846,0.6940076861377831,3490.654839533905,NA,NA
1997,FI,national,Kaakkois_Suomi,2,32,Rainbow trout,529.2853847928038,NA,NA,9549.67733,1,529.2853847928038,NA,NA
1997,FI,national,Ostrobothnia,2,38,Rainbow trout,1328.6957023141385,NA,NA,28136.78846,0.586174668609721,778.8477629871506,NA,NA
1997,FI,national,Ostrobothnia,2,40,Rainbow trout,1328.6957023141385,NA,NA,4932.99666,0.10276928678406677,136.5491096798787,NA,NA
1997,FI,national,Ostrobothnia,2,42,Rainbow trout,1328.6957023141385,NA,NA,14930.90472,0.3110560446062123,413.29882964710924,NA,NA
1997,FI,national,Kainuu,2,42,Rainbow trout,218.29284231567618,NA,NA,14930.90472,1,218.29284231567618,NA,NA
1997,FI,national,Aland,2,36,Rainbow trout,5563.9755516260475,NA,NA,12405.68538,1,5563.9755516260475,NA,NA
1998,FI,national,Uusimaa,2,32,Rainbow trout,139.82048383450146,NA,NA,9549.67733,1,139.82048383450146,NA,NA
1998,FI,national,Varsinais_Suomi,2,36,Rainbow trout,5244.7555957494915,NA,NA,12405.68538,0.305992313862217,1604.8549003851972,NA,NA
1998,FI,national,Varsinais_Suomi,2,38,Rainbow trout,5244.7555957494915,NA,NA,28136.78846,0.6940076861377831,3639.9006953642947,NA,NA
1998,FI,national,Kaakkois_Suomi,2,32,Rainbow trout,585.0644359032331,NA,NA,9549.67733,1,585.0644359032331,NA,NA
1998,FI,national,Ostrobothnia,2,38,Rainbow trout,1236.5683924937825,NA,NA,28136.78846,0.586174668609721,724.8450676832985,NA,NA
1998,FI,national,Ostrobothnia,2,40,Rainbow trout,1236.5683924937825,NA,NA,4932.99666,0.10276928678406677,127.08125175630597,NA,NA
1998,FI,national,Ostrobothnia,2,42,Rainbow trout,1236.5683924937825,NA,NA,14930.90472,0.3110560446062123,384.64207305417824,NA,NA
