year,country,region_id,farm_species,gapfilled,gapfill_nutrients,gapfill_prod,estim_n_kg,estim_p_kg,estim_prod,split_N_gf,split_P_gf,split_prod_gf,N_prod_ratio,P_prod_ratio
2009,DE,8,Rainbow trout,TRUE,TRUE,FALSE,529.3486902426462,58.84816370070397,NA,529.3486902426462,58.84816370070397,13.5,39.21101409204786,4.359123237089183
2010,DE,8,Rainbow trout,TRUE,TRUE,FALSE,529.3486902426462,58.84816370070397,NA,529.3486902426462,58.84816370070397,13.5,39.21101409204786,4.359123237089183
2011,DE,8,Rainbow trout,TRUE,TRUE,FALSE,529.3486902426462,58.84816370070397,NA,529.3486902426462,58.84816370070397,13.5,39.21101409204786,4.359123237089183
2012,DE,8,Rainbow trout,TRUE,TRUE,FALSE,529.3486902426462,58.84816370070397,NA,529.3486902426462,58.84816370070397,13.5,39.21101409204786,4.359123237089183
2013,DE,8,Rainbow trout,TRUE,TRUE,FALSE,529.3486902426462,58.84816370070397,NA,529.3486902426462,58.84816370070397,13.5,39.21101409204786,4.359123237089183
2014,DE,8,Rainbow trout,TRUE,TRUE,FALSE,529.3486902426462,58.84816370070397,NA,529.3486902426462,58.84816370070397,13.5,39.21101409204786,4.359123237089183
2015,DE,8,Rainbow trout,TRUE,TRUE,FALSE,529.3486902426462,58.84816370070397,NA,529.3486902426462,58.84816370070397,13.5,39.21101409204786,4.359123237089183
2016,DE,8,Rainbow trout,TRUE,TRUE,FALSE,529.3486902426462,58.84816370070397,NA,529.3486902426462,58.84816370070397,13.5,39.21101409204786,4.359123237089183
2017,DE,8,Rainbow trout,TRUE,TRUE,FALSE,529.3486902426462,58.84816370070397,NA,529.3486902426462,58.84816370070397,13.5,39.21101409204786,4.359123237089183
2018,DE,8,Rainbow trout,TRUE,TRUE,FALSE,705.7982536568616,78.4642182676053,NA,705.7982536568616,78.4642182676053,18,39.21101409204786,4.359123237089183
2019,DE,8,Rainbow trout,TRUE,TRUE,FALSE,784.2202818409572,87.18246474178366,NA,784.2202818409572,87.18246474178366,20,39.21101409204786,4.359123237089183
2005,DK,3,Rainbow trout,TRUE,TRUE,FALSE,11802.515241706406,1312.0960943638443,NA,11802.515241706406,1312.0960943638443,301,39.21101409204786,4.359123237089183
2005,DK,3,Rainbow trout,TRUE,TRUE,FALSE,74500.92677489093,8282.334150469449,NA,74500.92677489093,8282.334150469449,1900,39.21101409204786,4.359123237089183
2005,DK,3,Rainbow trout,TRUE,TRUE,FALSE,7489.303691581142,832.592538284034,NA,7489.303691581142,832.592538284034,191,39.21101409204786,4.359123237089183
2005,DK,3,Rainbow trout,TRUE,TRUE,FALSE,25840.05828665954,2872.662213241772,NA,25840.05828665954,2872.662213241772,659,39.21101409204786,4.359123237089183
2005,DK,3,Rainbow trout,TRUE,TRUE,FALSE,54304.40556926986,6037.068963266805,NA,54304.40556926986,6037.068963266805,1384.9273431640981,39.21101409204786,4.359123237089183
2005,DK,7,Rainbow trout,TRUE,TRUE,FALSE,6331.042956087148,703.8276643420506,NA,6331.042956087148,703.8276643420506,161.46083192913665,39.21101409204786,4.359123237089183
2005,DK,9,Rainbow trout,TRUE,TRUE,FALSE,5992.812531484003,666.2262878533685,NA,5992.812531484003,666.2262878533685,152.83492840597987,39.21101409204786,4.359123237089183
2005,DK,12,Rainbow trout,TRUE,TRUE,FALSE,32850.08169468443,3651.9727370330343,NA,32850.08169468443,3651.9727370330343,837.7768965007856,39.21101409204786,4.359123237089183
2005,DK,2,Rainbow trout,TRUE,TRUE,FALSE,50530.35562441398,5617.504481360361,NA,50530.35562441398,5617.504481360361,1288.6776023133186,39.21101409204786,4.359123237089183
2005,DK,3,Rainbow trout,TRUE,TRUE,FALSE,34243.856842593494,3806.9199572264542,NA,34243.856842593494,3806.9199572264542,873.3223976866815,39.21101409204786,4.359123237089183
2006,DK,2,Rainbow trout,TRUE,TRUE,FALSE,42385.58467525772,4712.043066312787,NA,42385.58467525772,4712.043066312787,1080.96119564155,39.21101409204786,4.359123237089183
2006,DK,6,Rainbow trout,TRUE,TRUE,FALSE,1629.93406587858,181.20121669935355,NA,1629.93406587858,181.20121669935355,41.56827115086362,39.21101409204786,4.359123237089183
2006,DK,12,Rainbow trout,TRUE,TRUE,FALSE,17376.003129535053,1931.7056894239267,NA,17376.003129535053,1931.7056894239267,443.1408758963714,39.21101409204786,4.359123237089183
2006,DK,15,Rainbow trout,TRUE,TRUE,FALSE,19814.488313959762,2202.7942515756304,NA,19814.488313959762,2202.7942515756304,505.3296573112148,39.21101409204786,4.359123237089183
2007,DK,2,Rainbow trout,TRUE,TRUE,FALSE,48382.193226609976,5378.691361063945,NA,48382.193226609976,5378.691361063945,1233.8929340881816,39.21101409204786,4.359123237089183
2007,DK,6,Rainbow trout,TRUE,TRUE,FALSE,1860.5331394191035,206.83712036565512,NA,1860.5331394191035,206.83712036565512,47.44924818959034,39.21101409204786,4.359123237089183
2007,DK,12,Rainbow trout,TRUE,TRUE,FALSE,19834.31743033359,2204.9986720416046,NA,19834.31743033359,2204.9986720416046,505.83536002849934,39.21101409204786,4.359123237089183
2007,DK,15,Rainbow trout,TRUE,TRUE,FALSE,22617.79351723847,2514.4401790076245,NA,22617.79351723847,2514.4401790076245,576.8224576937286,39.21101409204786,4.359123237089183
2008,DK,2,Rainbow trout,TRUE,TRUE,FALSE,46826.75892660051,5205.772349456135,NA,46826.75892660051,5205.772349456135,1194.2246333306935,39.21101409204786,4.359123237089183
2008,DK,6,Rainbow trout,TRUE,TRUE,FALSE,1800.7190452584216,200.1875344317339,NA,1800.7190452584216,200.1875344317339,45.923807046439386,39.21101409204786,4.359123237089183
2008,DK,12,Rainbow trout,TRUE,TRUE,FALSE,19196.665939341477,2134.11038986091,NA,19196.665939341477,2134.11038986091,489.5733095368894,39.21101409204786,4.359123237089183
2008,DK,15,Rainbow trout,TRUE,TRUE,FALSE,21890.656331405087,2433.603692711271,NA,21890.656331405087,2433.603692711271,558.2782500859776,39.21101409204786,4.359123237089183
2014,DK,2,Rainbow trout,TRUE,TRUE,FALSE,1637.29926316785,182.020012218746,NA,1637.29926316785,182.020012218746,41.75610606051376,39.21101409204786,4.359123237089183
2014,DK,6,Rainbow trout,TRUE,TRUE,FALSE,62.962204379665096,6.999564140969717,NA,62.962204379665096,6.999564140969717,1.6057275191062723,39.21101409204786,4.359123237089183
2014,DK,12,Rainbow trout,TRUE,TRUE,FALSE,671.2120957811707,74.61924440073112,NA,671.2120957811707,74.61924440073112,17.117947885905224,39.21101409204786,4.359123237089183
2014,DK,15,Rainbow trout,TRUE,TRUE,FALSE,765.4075640351429,85.0910382066878,NA,765.4075640351429,85.0910382066878,19.52021853447474,39.21101409204786,4.359123237089183
2015,DK,2,Rainbow trout,TRUE,TRUE,FALSE,5116.560197399532,568.8125381835812,NA,5116.560197399532,568.8125381835812,130.4878314391055,39.21101409204786,4.359123237089183
2015,DK,6,Rainbow trout,TRUE,TRUE,FALSE,196.75688868645344,21.873637940530365,NA,196.75688868645344,21.873637940530365,5.017898497207101,39.21101409204786,4.359123237089183
2015,DK,12,Rainbow trout,TRUE,TRUE,FALSE,2097.5377993161583,233.18513875228476,NA,2097.5377993161583,233.18513875228476,53.49358714345382,39.21101409204786,4.359123237089183
