common_name,latin_name
Cod,Gadus morhua
Flounder,Platichthys flesus
Herring,Clupea harengus
Perch,Perca fluviatilis
Pike,Esox lucius
Salmon,Salmo salar
Trout,Salmo trutta
Sprat,Sprattus sprattus
grey seal / gray seal,Halichoerus grypus
European otter / Euraisan otter,Lutra lutra
harbour seal / common seal,Phoca vitulina vitulina
harbour porpoise,Phocoena phocoena
ringed seal,Pusa hispida
