basin_ID,basin_name
KT , Kattegat
BP , Baltic Proper
GF , Gulf of Finland
GR , Gulf of Riga
AS , Aland Sea
AS , Aland Sea
BS , Bothnian Sea
BB , Bothnian Bay
AR , Arkona Basin
BH , Bornholm Basin
DS , Danish Straits
AR , Arkona Sea
BH , Bornholm Sea
SO , The Sound
GB , Great Belt
KB , Kiel Bay
BM , Bay of Mecklenburg
GD , Gdansk Basin
EG , Eastern Gotland Basin
WG , Western Gotland Basin
NB , Northern Baltic Proper
QK , The Quark
